deviceId,packetUid,task,deadline,theoreticalStartTime,deviceTxStartTime,delayInStartTime,deviceTxFinishTime,deadlineFinishTime,delayInDeadline,onTime,gatewaysReceived,gatewaysExpected,gatewaysReceivedQty,gatewaysExpectedQty,gatewaysLost,gatewaysLostQty,otherLostLoRaPackets,receivedByNS,delay,inteferingPackets,inteferingNodes,collisionType
90,0,1,3,1.185,1.185,0,3.81463,3728.59,3724.7753700000003,1,1,1,1,1,,0,0,1,1.185,,,0
98,1,1,65,3.044,3.044,0,5.67363,3730.45,3724.77637,1,1,1,1,1,,0,0,1,3.044,,,0
197,2,1,2,3.876,3.876,0,6.50563,3731.28,3724.77437,1,2,2,1,1,,0,0,1,3.876,,,0
310,3,1,6,4.1,4.1,0,6.72963,3731.51,3724.7803700000004,1,1,1,1,1,,0,0,1,4.1,,,0
206,4,1,3,7.372,7.372,0,10.0016,3734.78,3724.7784,1,2,2,1,1,,0,0,1,7.372,,,0
189,5,1,2,11.411,11.411,0,14.0406,3738.82,3724.7794000000004,1,1,1,1,1,,0,0,1,11.411,,,0
236,6,1,30,15.503,15.503,0,18.1326,3742.91,3724.7774,1,2,2,1,1,,0,0,1,15.503,,,0
149,7,1,37,16.928,16.928,0,19.5576,3744.33,3724.7724,1,2,2,1,1,,0,0,1,16.928,,,0
290,8,1,8,18.06,18.06,0,20.6896,3745.47,3724.7803999999996,1,2,2,1,1,,0,0,1,18.06,,,0
245,9,1,10,19.237,19.237,0,21.8666,3746.64,3724.7734,1,2,2,1,1,,0,0,1,19.237,,,0
196,10,1,26,24.175,24.175,0,26.8046,3751.58,3724.7754,1,2:1,2:1,2,2,,0,0,1,24.175,,,0
13,11,1,3,27.044,27.044,0,29.6736,3754.45,3724.7763999999997,1,2,2,1,1,,0,0,1,27.044,,,0
318,12,1,43,37.247,37.247,0,39.8766,3764.65,3724.7734,1,2:1,2:1,2,2,,0,0,1,37.247,,,0
164,13,1,38,38.654,38.654,0,41.2836,3766.06,3724.7763999999997,1,2,2,1,1,,0,0,1,38.654,,,0
289,14,1,31,44.994,44.994,0,47.6236,3772.4,3724.7764,1,2,2,1,1,,0,0,1,44.994,,,0
234,15,1,137,46.964,46.964,0,49.5936,3774.37,3724.7763999999997,1,1,1,1,1,,0,0,1,46.964,,,0
151,16,1,12,48.879,48.879,0,51.5086,3776.28,3724.7714,1,2,2,1,1,,0,0,1,48.879,,,0
109,17,1,161,49.319,49.319,0,51.9486,3776.72,3724.7713999999996,1,2,2,1,1,,0,0,1,49.319,,,0
293,18,1,215,49.797,49.797,0,52.4266,3777.2,3724.7734,1,,2:1,0,2,2:1,2,0,0,49.797,16:20:16:20,151:140:151:140,2
