deviceId,packetUid,task,deadline,theoreticalStartTime,deviceTxStartTime,delayInStartTime,deviceTxFinishTime,deadlineFinishTime,delayInDeadline,onTime,gatewaysReceived,gatewaysExpected,gatewaysReceivedQty,gatewaysExpectedQty,gatewaysLost,gatewaysLostQty,otherLostLoRaPackets,receivedByNS,delay,inteferingPackets,inteferingNodes,collisionType
279,0,1,2,2.687,2.687,0,5.31663,5990.49,5985.1733699999995,1,1,1,1,1,,0,0,1,2.687,,,0
37,1,1,11,4.388,4.388,0,7.01763,5992.19,5985.172369999999,1,1,1,1,1,,0,0,1,4.388,,,0
76,2,1,6,5.059,5.059,0,7.68863,5992.86,5985.17137,1,,1,0,1,1,1,0,0,5.059,0:3:4,279:355:207,2
355,3,1,5,5.983,5.983,0,8.61263,5993.78,5985.16737,1,,1,0,1,1,1,0,0,5.983,2:4,76:207,2
207,4,1,2,6.251,6.251,0,8.88063,5994.05,5985.1693700000005,1,,1,0,1,1,1,0,0,6.251,2:3,76:355,2
93,5,1,4,10.306,10.306,0,12.9356,5998.11,5985.1744,1,,1,0,1,1,1,0,0,10.306,6,121,2
121,6,1,13,10.425,10.425,0,13.0546,5998.23,5985.175399999999,1,,1,0,1,1,1,0,0,10.425,5,93,2
118,7,1,2,13.951,13.951,0,16.5806,6001.75,5985.1694,1,1,1,1,1,,0,0,1,13.951,,,0
250,8,1,6,30.286,30.286,0,32.9156,6018.09,5985.1744,1,,1,0,1,1,1,0,0,30.286,9,225,2
225,9,1,69,30.886,30.886,0,33.5156,6018.69,5985.1744,1,,1,0,1,1,1,0,0,30.886,8,250,2
30,10,1,5,35.081,35.081,0,37.7106,6022.88,5985.1694,1,,1,0,1,1,1,0,0,35.081,11,31,2
31,11,1,155,36.328,36.328,0,38.9576,6024.13,5985.1724,1,,1,0,1,1,1,0,0,36.328,10,30,2
68,12,1,11,36.697,36.697,0,39.3266,6024.5,5985.1734,1,,1,0,1,1,1,0,0,36.697,13,204,2
204,13,1,6,37.904,37.904,0,40.5336,6025.7,5985.1664,1,1,1,1,1,,0,0,1,37.904,,,0
317,14,1,102,44.751,44.751,0,47.3806,6032.55,5985.1694,1,1,1,1,1,,0,0,1,44.751,,,0
321,15,1,132,48.6,48.6,0,51.2296,6036.4,5985.1704,1,1,1,1,1,,0,0,1,48.6,,,0
385,16,1,11,54.444,54.444,0,57.0736,6042.24,5985.1664,1,1,1,1,1,,0,0,1,54.444,,,0
330,17,1,308,56.864,56.864,0,59.4936,6044.66,5985.1664,1,1,1,1,1,,0,0,1,56.864,,,0
390,18,1,255,59.162,59.162,0,61.7916,6046.96,5985.1684000000005,1,,1,0,1,1,1,0,0,59.162,17:20,330:21,2
51,19,1,18,59.825,59.825,0,62.4546,6047.62,5985.1654,1,1,1,1,1,,0,0,1,59.825,,,0
21,20,1,70,60.084,60.084,0,62.7136,6047.88,5985.1664,1,,1,0,1,1,1,0,0,60.084,18,390,2
