deviceId,packetUid,task,deadline,theoreticalStartTime,deviceTxStartTime,delayInStartTime,deviceTxFinishTime,deadlineFinishTime,delayInDeadline,onTime,gatewaysReceived,gatewaysExpected,gatewaysReceivedQty,gatewaysExpectedQty,gatewaysLost,gatewaysLostQty,otherLostLoRaPackets,receivedByNS,delay,inteferingPackets,inteferingNodes,collisionType
418,0,1,9,3.549,3.549,0,6.17863,14688.6,14682.42137,1,2,2,1,1,,0,0,1,3.549,,,0
1550,1,1,7,5.039,5.039,0,7.66863,14690.1,14682.43137,1,1:2,1:2,2,2,,0,0,1,5.039,,,0
558,2,1,271,7.777,7.777,0,10.4066,14692.9,14682.4934,1,1,1,1,1,,0,0,1,7.777,,,0
1161,3,1,284,8.057,8.057,0,10.6866,14693.1,14682.4134,1,,2,0,1,2,1,0,0,8.057,5:6,646:1313:1313,2
552,4,1,9,8.141,8.141,0,10.7706,14693.2,14682.4294,1,2,2,1,1,,0,0,1,8.141,,,0
646,5,1,586,9.036,9.036,0,11.6656,14694.1,14682.4344,1,,2,0,1,2,1,0,0,9.036,3:6,1161:1313:1313,2
1313,6,1,8,9.571,9.571,0,12.2006,14694.7,14682.4994,1,1,1:2,1,2,2,1,0,1,9.571,3:5,1161:646,2
1168,7,1,3,9.79,9.79,0,12.4196,14694.9,14682.4804,1,,1,0,1,1,1,0,0,9.79,2:4:8:9,558:552:602:523,2
602,8,1,66,10.715,10.715,0,13.3446,14695.8,14682.455399999999,1,2,2,1,1,,0,0,1,10.715,,,0
523,9,1,398,12.189,12.189,0,14.8186,14697.3,14682.481399999999,1,1,1,1,1,,0,0,1,12.189,,,0
23,10,1,957,13.54,13.54,0,16.1696,14698.6,14682.430400000001,1,,1,0,1,1,1,0,0,13.54,12,489:489,2
1291,11,1,20,13.915,13.915,0,16.5446,14699,14682.4554,1,2,2,1,1,,0,0,1,13.915,,,0
489,12,1,2,14.996,14.996,0,17.6256,14700.1,14682.474400000001,1,2,1:2,1,2,1,1,0,1,14.996,10,23,2
812,13,1,23,17.077,17.077,0,19.7066,14702.2,14682.493400000001,1,2,2,1,1,,0,0,1,17.077,,,0
725,14,1,239,20.629,20.629,0,23.2586,14705.7,14682.441400000002,1,2,2:1,1,2,1,1,0,1,20.629,15,507:507,2
507,15,1,16,21.659,21.659,0,24.2886,14706.7,14682.4114,1,,1:2,0,2,1:2,2,0,0,21.659,14:14,725:725:725:725,2
1208,16,1,4,22.752,22.752,0,25.3816,14707.8,14682.418399999999,1,2,2:1,1,2,1,1,0,1,22.752,17,257,2
257,17,1,54,23.917,23.917,0,26.5466,14709,14682.4534,1,1,1,1,1,,0,0,1,23.917,,,0
816,18,1,6,25.09,25.09,0,27.7196,14710.2,14682.4804,1,2:1,2:1,2,2,,0,0,1,25.09,,,0
635,19,1,5,25.732,25.732,0,28.3616,14710.8,14682.4384,1,1,1,1,1,,0,0,1,25.732,,,0
537,20,1,4,27.39,27.39,0,30.0196,14712.5,14682.4804,1,1,1,1,1,,0,0,1,27.39,,,0
253,21,1,4,29.586,29.586,0,32.2156,14714.7,14682.484400000001,1,,1,0,1,1,1,0,0,29.586,20:22:23,537:1507:1507:1241,2
1507,22,1,75,30.431,30.431,0,33.0606,14715.5,14682.4394,1,2,1:2,1,2,1,1,0,1,30.431,21:23,253:1241,2
1241,23,1,801,31.582,31.582,0,34.2116,14716.7,14682.4884,1,1,1,1,1,,0,0,1,31.582,,,0
1211,24,1,15,35.062,35.062,0,37.6916,14720.1,14682.4084,1,1,1,1,1,,0,0,1,35.062,,,0
1518,25,1,33,35.863,35.863,0,38.4926,14720.9,14682.4074,1,2,2,1,1,,0,0,1,35.863,,,0
1397,26,1,6,36.356,36.356,0,38.9856,14721.4,14682.4144,1,1,1,1,1,,0,0,1,36.356,,,0
669,27,1,234,36.664,36.664,0,39.2936,14721.7,14682.4064,1,,1:2,0,2,1:2,2,0,0,36.664,25:28:30:25:28:30,1518:648:648:703:703:1518:648:648:703:703,2
648,28,1,27,36.85,36.85,0,39.4796,14721.9,14682.420399999999,1,,1:2,0,2,1:2,2,0,0,36.85,25:27:30:25:27:30,1518:669:669:703:703:1518:669:669:703:703,2
1043,29,1,6,37.67,37.67,0,40.2996,14722.7,14682.4004,1,2,1:2,1,2,1,1,0,1,37.67,26,1397,2
703,30,1,6,38.599,38.599,0,41.2286,14723.7,14682.4714,1,,1:2,0,2,1:2,2,0,0,38.599,27:28:31:27:28:31,669:669:648:648:1508:669:669:648:648:1508,2
1508,31,1,6,39.692,39.692,0,42.3216,14724.8,14682.4784,1,,1,0,1,1,1,0,0,39.692,30:33:34:35,703:703:33:855:1523,2
1460,32,1,14,40.666,40.666,0,43.2956,14725.7,14682.404400000001,1,2,2,1,1,,0,0,1,40.666,,,0
