deviceId,packetUid,task,deadline,theoreticalStartTime,deviceTxStartTime,delayInStartTime,deviceTxFinishTime,deadlineFinishTime,delayInDeadline,onTime,gatewaysReceived,gatewaysExpected,gatewaysReceivedQty,gatewaysExpectedQty,gatewaysLost,gatewaysLostQty,otherLostLoRaPackets,receivedByNS,slot,inteferingPackets,inteferingNodes,collisionType
619,7829,10,307,47222,47222,0,47224.6,47236,11.400000000001455,1,3:4,3:4,2,2,,0,0,1,260,,,0
562,7830,10,320,47236,47236,0,47238.6,47250,11.400000000001455,1,4,4:3,1,2,3,1,0,1,261,7831,800:800,1
800,7831,10,271,47236,47236,0,47238.6,47250,11.400000000001455,1,1:2,1:2,2,2,,0,0,1,261,,,0
402,7832,10,272,47250,47250,0,47252.6,47264,11.400000000001455,1,1,1,1,1,,0,0,1,262,,,0
442,7833,10,326,47250,47250,0,47252.6,47264,11.400000000001455,1,3,3,1,1,,0,0,1,262,,,0
612,7834,10,319,47250,47250,0,47252.6,47264,11.400000000001455,1,2:4,2:4,2,2,,0,0,1,262,,,0
367,7835,10,323,47264,47264,0,47266.6,47278,11.400000000001455,1,2,2,1,1,,0,0,1,263,,,0
103,7836,10,272,47264,47264,0,47266.6,47278,11.400000000001455,1,1:3,1:3:4,2,3,4,1,0,1,263,7835,367,1
121,7837,10,327,47278,47278,0,47280.6,47292,11.400000000001455,1,4:2,4:2,2,2,,0,0,1,264,,,0
762,7838,10,272,47278,47278,0,47280.6,47292,11.400000000001455,1,1:3,1:3,2,2,,0,0,1,264,,,0
304,7839,10,274,47292,47292,0,47294.6,47306,11.400000000001455,1,1,1,1,1,,0,0,1,265,,,0
455,7840,10,329,47292,47292,0,47294.6,47306,11.400000000001455,1,2,2,1,1,,0,0,1,265,,,0
613,7841,10,320,47292,47292,0,47294.6,47306,11.400000000001455,1,4:3,4:3,2,2,,0,0,1,265,,,0
34,7842,10,275,47306,47306,0,47308.6,47320,11.400000000001455,1,1,1,1,1,,0,0,1,266,,,0
636,7843,10,329,47306,47306,0,47308.6,47320,11.400000000001455,1,2,2,1,1,,0,0,1,266,,,0
689,7844,10,327,47306,47306,0,47308.6,47320,11.400000000001455,1,3:4,3:4,2,2,,0,0,1,266,,,0
241,7845,10,328,47320,47320,0,47322.6,47334,11.400000000001455,1,3,3,1,1,,0,0,1,267,,,0
319,7846,10,276,47320,47320,0,47322.6,47334,11.400000000001455,1,2:1,2:4:1,2,3,4,1,0,1,267,7845,241,1
50,7847,10,329,47334,47334,0,47336.6,47348,11.400000000001455,1,4:2,4:2,2,2,,0,0,1,268,,,0
127,7848,10,277,47334,47334,0,47336.6,47348,11.400000000001455,1,3:1,3:1,2,2,,0,0,1,268,,,0
100,7849,10,280,47348,47348,0,47350.6,47362,11.400000000001455,1,1,1,1,1,,0,0,1,269,,,0
352,7850,10,328,47348,47348,0,47350.6,47362,11.400000000001455,1,3,3,1,1,,0,0,1,269,,,0
496,7851,10,330,47348,47348,0,47350.6,47362,11.400000000001455,1,2,2,1,1,,0,0,1,269,,,0
589,7852,10,185,47348,47348,0,47350.6,47362,11.400000000001455,1,4,4,1,1,,0,0,1,269,,,0
694,7853,10,328,47362,47362,0,47364.6,47376,11.400000000001455,1,3,3,1,1,,0,0,1,270,,,0
773,7854,10,187,47362,47362,0,47364.6,47376,11.400000000001455,1,4,4,1,1,,0,0,1,270,,,0
192,7855,10,280,47362,47362,0,47364.6,47376,11.400000000001455,1,2:1,2:1,2,2,,0,0,1,270,,,0
58,7856,10,188,47376,47376,0,47378.6,47390,11.400000000001455,1,4,4,1,1,,0,0,1,271,,,0
437,7857,10,331,47376,47376,0,47378.6,47390,11.400000000001455,1,3,3,1,1,,0,0,1,271,,,0
228,7858,10,280,47376,47376,0,47378.6,47390,11.400000000001455,1,1:2,1:2,2,2,,0,0,1,271,,,0
194,7859,10,332,47390,47390,0,47392.6,47404,11.400000000001455,1,3,3,1,1,,0,0,1,272,,,0
765,7860,10,281,47390,47390,0,47392.6,47404,11.400000000001455,1,1,1,1,1,,0,0,1,272,,,0
683,7861,10,330,47390,47390,0,47392.6,47404,11.400000000001455,1,4,4:2,1,2,2,1,0,1,272,7860:7859,765:194,1
145,7862,10,332,47404,47404,0,47406.6,47418,11.400000000001455,1,3:4,3:4,2,2,,0,0,1,273,,,0
323,7863,10,282,47404,47404,0,47406.6,47418,11.400000000001455,1,1:2,1:2,2,2,,0,0,1,273,,,0
