deviceId,packetUid,task,deadline,theoreticalStartTime,deviceTxStartTime,delayInStartTime,deviceTxFinishTime,deadlineFinishTime,delayInDeadline,onTime,gatewaysReceived,gatewaysExpected,gatewaysReceivedQty,gatewaysExpectedQty,gatewaysLost,gatewaysLostQty,otherLostLoRaPackets,receivedByNS,delay,inteferingPackets,inteferingNodes,collisionType
125,0,1,34,1.272,1.272,0,3.90163,29610.9,29606.99837,1,1,1,1,1,,0,0,1,1.272,,,0
582,1,1,24,2.271,2.271,0,4.90063,29611.9,29606.99937,1,2,2,1,1,,0,0,1,2.271,,,0
458,2,1,7,5.261,5.261,0,7.89063,29614.9,29607.00937,1,2,2,1,1,,0,0,1,5.261,,,0
2411,3,1,7,6.261,6.261,0,8.89063,29615.9,29607.00937,1,1,1,1,1,,0,0,1,6.261,,,0
1869,4,1,1460,6.804,6.804,0,9.43363,29616.5,29607.06637,1,2,2,1,1,,0,0,1,6.804,,,0
1865,5,1,55,7.12,7.12,0,9.74963,29616.8,29607.05037,1,1,1:2,1,2,2,1,0,1,7.12,4,1869,2
1057,6,1,2,7.502,7.502,0,10.1316,29617.2,29607.0684,1,2,2,1,1,,0,0,1,7.502,,,0
316,7,1,42,8.765,8.765,0,11.3946,29618.4,29607.005400000002,1,2,2,1,1,,0,0,1,8.765,,,0
2108,8,1,928,8.872,8.872,0,11.5016,29618.5,29606.9984,1,,1,0,1,1,1,0,0,8.872,3:6,2411:1057,2
546,9,1,19,10.613,10.613,0,13.2426,29620.3,29607.057399999998,1,1,1,1,1,,0,0,1,10.613,,,0
471,10,1,384,13.297,13.297,0,15.9266,29623,29607.0734,1,,1:2,0,2,1:2,2,0,0,13.297,11:12:11:12,2448:3021:3021:2448:3021:3021,2
2448,11,1,86,13.886,13.886,0,16.5156,29623.6,29607.0844,1,,2,0,1,2,1,0,0,13.886,10:12,471:471:3021:3021,2
3021,12,1,7,14.024,14.024,0,16.6536,29623.7,29607.0464,1,,1:2,0,2,1:2,2,0,0,14.024,10:11:10:11,471:471:2448:471:471:2448,2
1393,13,1,242,15.693,15.693,0,18.3226,29625.4,29607.077400000002,1,1:2,1:2,2,2,,0,0,1,15.693,,,0
1335,14,1,148,18.989,18.989,0,21.6186,29628.7,29607.0814,1,1,1,1,1,,0,0,1,18.989,,,0
456,15,1,85,20.562,20.562,0,23.1916,29630.2,29607.008400000002,1,,2:1,0,2,2:1,2,0,0,20.562,17:18:20:17:18:20,335:1159:417:335:1159:417,2
719,16,1,250,21.995,21.995,0,24.6246,29631.7,29607.0754,1,2,2,1,1,,0,0,1,21.995,,,0
335,17,1,296,22.112,22.112,0,24.7416,29631.8,29607.058399999998,1,,2,0,1,2,1,0,0,22.112,15:18:20:21,456:456:1159:417:660,2
1159,18,1,230,22.251,22.251,0,24.8806,29631.9,29607.0194,1,,2,0,1,2,1,0,0,22.251,15:17:20:21,456:456:335:417:660,2
1735,19,1,93,22.319,22.319,0,24.9486,29632,29607.0514,1,1,1,1,1,,0,0,1,22.319,,,0
417,20,1,791,22.374,22.374,0,25.0036,29632,29606.9964,1,,1,0,1,1,1,0,0,22.374,15:17:18:21,456:456:335:1159:660,2
660,21,1,4,23.609,23.609,0,26.2386,29633.3,29607.0614,1,,1,0,1,1,1,0,0,23.609,17:18:20:22:23,335:1159:417:1537:418,2
1537,22,1,110,26.002,26.002,0,28.6316,29635.7,29607.0684,1,2,2,1,1,,0,0,1,26.002,,,0
418,23,1,32,26.097,26.097,0,28.7266,29635.8,29607.073399999997,1,,2,0,1,2,1,0,0,26.097,21:22,660:1537,2
2802,24,1,163,30.084,30.084,0,32.7136,29639.8,29607.0864,1,1,1,1,1,,0,0,1,30.084,,,0
1298,25,1,21,30.087,30.087,0,32.7166,29639.8,29607.0834,1,1,1,1,1,,0,0,1,30.087,,,0
2972,26,1,9,30.42,30.42,0,33.0496,29640.1,29607.0504,1,1:2,1:2,2,2,,0,0,1,30.42,,,0
2437,27,1,15,31.54,31.54,0,34.1696,29641.2,29607.0304,1,2,2,1,1,,0,0,1,31.54,,,0
1664,28,1,396,32.781,32.781,0,35.4106,29642.5,29607.0894,1,1,1:2,1,2,2,1,0,1,32.781,27:32,2437:892,2
213,29,1,304,34.098,34.098,0,36.7276,29643.8,29607.0724,1,1,1,1,1,,0,0,1,34.098,,,0
1475,30,1,44,34.26,34.26,0,36.8896,29643.9,29607.010400000003,1,1,2:1,1,2,2,1,0,1,34.26,31,599,2
599,31,1,557,34.469,34.469,0,37.0986,29644.1,29607.001399999997,1,,2,0,1,2,1,0,0,34.469,30,1475:1475,2
892,32,1,4,35.4,35.4,0,38.0296,29645.1,29607.070399999997,1,1,1,1,1,,0,0,1,35.4,,,0
2523,33,1,527,37.303,37.303,0,39.9326,29647,29607.0674,1,1,1,1,1,,0,0,1,37.303,,,0
300,34,1,7,38.568,38.568,0,41.1976,29648.2,29607.0024,1,,2,0,1,2,1,0,0,38.568,35,3178:3178,2
3178,35,1,44,38.687,38.687,0,41.3166,29648.4,29607.083400000003,1,,2:1,0,2,2:1,2,0,0,38.687,34:34,300:300,2
1702,36,1,30,40.263,40.263,0,42.8926,29649.9,29607.007400000002,1,1,1:2,1,2,2,1,0,1,40.263,37,2568:2568,2
2568,37,1,9,42.668,42.668,0,45.2976,29652.3,29607.002399999998,1,,1:2,0,2,1:2,2,0,0,42.668,36:38:39:40:36:38:39:40,1702:1702:1297:2073:661:1702:1702:1297:2073:661,2
1297,38,1,24,42.914,42.914,0,45.5436,29652.6,29607.056399999998,1,,2,0,1,2,1,0,0,42.914,37:39:40,2568:2568:2073:661,2
2073,39,1,4,43.442,43.442,0,46.0716,29653.1,29607.0284,1,,2,0,1,2,1,0,0,43.442,37:38:40,2568:2568:1297:661,2
661,40,1,36,45.196,45.196,0,47.8256,29654.9,29607.0744,1,1,1,1,1,,0,0,1,45.196,,,0
1251,41,1,36,45.998,45.998,0,48.6276,29655.7,29607.0724,1,1,1,1,1,,0,0,1,45.998,,,0
3157,42,1,47,48.321,48.321,0,50.9506,29658,29607.0494,1,1:2,1:2,2,2,,0,0,1,48.321,,,0
885,43,1,6,49.51,49.51,0,52.1396,29659.2,29607.060400000002,1,1,1,1,1,,0,0,1,49.51,,,0
1226,44,1,19,50.233,50.233,0,52.8626,29659.9,29607.0374,1,1,1,1,1,,0,0,1,50.233,,,0
669,45,1,266,53.345,53.345,0,55.9746,29663,29607.0254,1,1,1,1,1,,0,0,1,53.345,,,0
162,46,1,15,54.371,54.371,0,57.0006,29664,29606.9994,1,2:1,2:1,2,2,,0,0,1,54.371,,,0
2182,47,1,6,56.328,56.328,0,58.9576,29666,29607.0424,1,,1,0,1,1,1,0,0,56.328,48:50,916:2536:2536,2
916,48,1,1115,56.591,56.591,0,59.2206,29666.3,29607.0794,1,1,1,1,1,,0,0,1,56.591,,,0
2737,49,1,12,56.883,56.883,0,59.5126,29666.6,29607.0874,1,1:2,1:2,2,2,,0,0,1,56.883,,,0
2536,50,1,53,57.249,57.249,0,59.8786,29666.9,29607.0214,1,2,1:2,1,2,1,1,0,1,57.249,47:48,2182:916,2
2768,51,1,26,60.696,60.696,0,63.3256,29670.4,29607.0744,1,1,1,1,1,,0,0,1,60.696,,,0
1717,52,1,1080,61.138,61.138,0,63.7676,29670.8,29607.0324,1,2,2,1,1,,0,0,1,61.138,,,0
1354,53,1,12,62.409,62.409,0,65.0386,29672.1,29607.0614,1,1:2,1:2,2,2,,0,0,1,62.409,,,0
