deviceId,packetUid,task,deadline,theoreticalStartTime,deviceTxStartTime,delayInStartTime,deviceTxFinishTime,deadlineFinishTime,delayInDeadline,onTime,gatewaysReceived,gatewaysExpected,gatewaysReceivedQty,gatewaysExpectedQty,gatewaysLost,gatewaysLostQty,otherLostLoRaPackets,receivedByNS,slot,inteferingPackets,inteferingNodes,collisionType
64,0,1,3,0,0,0,2.62963,14,11.37037,1,3,3,1,1,,0,0,1,1,,,0
87,1,1,2,0,0,0,2.62963,14,11.37037,1,1,1,1,1,,0,0,1,1,,,0
58,2,1,2,0,0,0,2.62963,14,11.37037,1,2:4,2:4,2,2,,0,0,1,1,,,0
3,3,1,6,14,14,0,16.6296,28,11.3704,1,2,2,1,1,,0,0,1,2,,,0
59,4,1,6,14,14,0,16.6296,28,11.3704,1,4,4,1,1,,0,0,1,2,,,0
65,5,1,4,14,14,0,16.6296,28,11.3704,1,3,3,1,1,,0,0,1,2,,,0
93,6,1,2,14,14,0,16.6296,28,11.3704,1,1,1,1,1,,0,0,1,2,,,0
56,7,1,7,28,28,0,30.6296,42,11.3704,1,4:2,4:2,2,2,,0,0,1,3,,,0
73,8,1,2,28,28,0,30.6296,42,11.3704,1,3:1,3:1,2,2,,0,0,1,3,,,0
32,9,1,4,42,42,0,44.6296,56,11.370399999999997,1,1,1,1,1,,0,0,1,4,,,0
80,10,1,9,42,42,0,44.6296,56,11.370399999999997,1,2,2,1,1,,0,0,1,4,,,0
26,11,1,6,42,42,0,44.6296,56,11.370399999999997,1,3:4,3:4,2,2,,0,0,1,4,,,0
33,12,1,12,56,56,0,58.6296,70,11.370399999999997,1,2,2,1,1,,0,0,1,5,,,0
94,13,1,7,56,56,0,58.6296,70,11.370399999999997,1,3:4:1,3:4:1,3,3,,0,0,1,5,,,0
48,14,1,9,70,70,0,72.6296,84,11.370400000000004,1,1:3,1:3,2,2,,0,0,1,6,,,0
67,15,1,10,70,70,0,72.6296,84,11.370400000000004,1,2,2:4,1,2,4,1,0,1,6,14,48:48,1
6,16,1,14,84,84,0,86.6296,98,11.370400000000004,1,3,3,1,1,,0,0,1,7,,,0
89,17,1,11,84,84,0,86.6296,98,11.370400000000004,1,1,1,1,1,,0,0,1,7,,,0
41,18,1,13,84,84,0,86.6296,98,11.370400000000004,1,4:2,4:2,2,2,,0,0,1,7,,,0
8,19,1,20,98,98,0,100.63,112,11.370000000000005,1,3,3,1,1,,0,0,1,8,,,0
95,20,1,12,98,98,0,100.63,112,11.370000000000005,1,1,1,1,1,,0,0,1,8,,,0
45,21,1,14,98,98,0,100.63,112,11.370000000000005,1,2:4,2:4,2,2,,0,0,1,8,,,0
30,22,1,20,112,112,0,114.63,126,11.370000000000005,1,3,3,1,1,,0,0,1,9,,,0
84,23,1,13,112,112,0,114.63,126,11.370000000000005,1,1,1,1,1,,0,0,1,9,,,0
10,24,1,15,112,112,0,114.63,126,11.370000000000005,1,2:4,2:4,2,2,,0,0,1,9,,,0
24,25,1,32,126,126,0,128.63,140,11.370000000000005,1,3,3,1,1,,0,0,1,10,,,0
49,26,1,15,126,126,0,128.63,140,11.370000000000005,1,1,1,1,1,,0,0,1,10,,,0
40,27,1,16,126,126,0,128.63,140,11.370000000000005,1,2:4,2:4,2,2,,0,0,1,10,,,0
62,28,1,32,140,140,0,142.63,154,11.370000000000005,1,3,3,1,1,,0,0,1,11,,,0
97,29,1,17,140,140,0,142.63,154,11.370000000000005,1,1,1,1,1,,0,0,1,11,,,0
5,30,1,17,140,140,0,142.63,154,11.370000000000005,1,2:4,2:4,2,2,,0,0,1,11,,,0
42,31,1,18,154,154,0,156.63,168,11.370000000000005,1,1,1,1,1,,0,0,1,12,,,0
34,32,1,22,154,154,0,156.63,168,11.370000000000005,1,4,4:3:2,1,3,3:2,2,0,1,12,31:31,42:42,1
66,33,1,18,168,168,0,170.63,182,11.370000000000005,1,1,1,1,1,,0,0,1,13,,,0
96,34,1,39,168,168,0,170.63,182,11.370000000000005,1,3,3,1,1,,0,0,1,13,,,0
38,35,1,23,168,168,0,170.63,182,11.370000000000005,1,4:2,4:2,2,2,,0,0,1,13,,,0
25,36,1,9,182,182,0,184.63,196,11.370000000000005,1,4,4,1,1,,0,0,1,14,,,0
47,37,1,24,182,182,0,184.63,196,11.370000000000005,1,2,2,1,1,,0,0,1,14,,,0
37,38,1,18,182,182,0,184.63,196,11.370000000000005,1,3:1,3:1,2,2,,0,0,1,14,,,0
22,39,1,19,196,196,0,198.63,210,11.370000000000005,1,1,1,1,1,,0,0,1,15,,,0
78,40,1,40,196,196,0,198.63,210,11.370000000000005,1,3,3,1,1,,0,0,1,15,,,0
71,41,1,27,196,196,0,198.63,210,11.370000000000005,1,4:2,4:2,2,2,,0,0,1,15,,,0
15,42,1,28,210,210,0,212.63,224,11.370000000000005,1,2,2,1,1,,0,0,1,16,,,0
16,43,1,20,210,210,0,212.63,224,11.370000000000005,1,1,1,1,1,,0,0,1,16,,,0
35,44,1,7,210,210,0,212.63,224,11.370000000000005,1,3:4,3:4,2,2,,0,0,1,16,,,0
76,45,1,7,224,224,0,226.63,238,11.370000000000005,1,4:3,4:3,2,2,,0,0,1,17,,,0
90,46,1,22,224,224,0,226.63,238,11.370000000000005,1,2:1,2:1,2,2,,0,0,1,17,,,0
9,47,1,24,238,238,0,240.63,252,11.370000000000005,1,2:1,2:1,2,2,,0,0,1,18,,,0
27,48,1,9,238,238,0,240.63,252,11.370000000000005,1,4:3,4:3,2,2,,0,0,1,18,,,0
39,49,1,24,252,252,0,254.63,266,11.370000000000005,1,1:2,1:2,2,2,,0,0,1,19,,,0
75,50,1,9,252,252,0,254.63,266,11.370000000000005,1,3:4,3:4,2,2,,0,0,1,19,,,0
2,51,1,26,266,266,0,268.63,280,11.370000000000005,1,1,1,1,1,,0,0,1,20,,,0
11,52,1,37,266,266,0,268.63,280,11.370000000000005,1,2,2,1,1,,0,0,1,20,,,0
54,53,1,13,266,266,0,268.63,280,11.370000000000005,1,4:3,4:3,2,2,,0,0,1,20,,,0
61,54,1,26,280,280,0,282.63,294,11.370000000000005,1,1:2,1:2,2,2,,0,0,1,21,,,0
69,55,1,15,280,280,0,282.63,294,11.370000000000005,1,3:4,3:4,2,2,,0,0,1,21,,,0
51,56,1,28,294,294,0,296.63,308,11.370000000000005,1,1,1:2,1,2,2,1,0,1,22,57,60:60,1
60,57,1,31,294,294,0,296.63,308,11.370000000000005,1,4:3,4:3,2,2,,0,0,1,22,,,0
43,58,1,42,308,308,0,310.63,322,11.370000000000005,1,2,2,1,1,,0,0,1,23,,,0
44,59,1,29,308,308,0,310.63,322,11.370000000000005,1,1:3:4,1:3:4,3,3,,0,0,1,23,,,0
19,60,1,37,322,322,0,324.63,336,11.370000000000005,1,2:4,2:4,2,2,,0,0,1,24,,,0
55,61,1,31,322,322,0,324.63,336,11.370000000000005,1,3:1,3:1,2,2,,0,0,1,24,,,0
12,62,1,33,336,336,0,338.63,350,11.370000000000005,1,1:3,1:3,2,2,,0,0,1,25,,,0
31,63,1,37,336,336,0,338.63,350,11.370000000000005,1,2:4,2:4,2,2,,0,0,1,25,,,0
63,64,1,34,350,350,0,352.63,364,11.370000000000005,1,1,1,1,1,,0,0,1,26,,,0
88,65,1,42,350,350,0,352.63,364,11.370000000000005,1,3,3,1,1,,0,0,1,26,,,0
68,66,1,40,350,350,0,352.63,364,11.370000000000005,1,2:4,2:4,2,2,,0,0,1,26,,,0
1,67,1,35,364,364,0,366.63,378,11.370000000000005,1,3,3:1,1,2,1,1,0,1,27,68,17:17,1
17,68,1,41,364,364,0,366.63,378,11.370000000000005,1,2,2:4,1,2,4,1,0,1,27,67,1:1,1
99,69,1,36,378,378,0,380.63,392,11.370000000000005,1,1,1,1,1,,0,0,1,28,,,0
74,70,1,43,378,378,0,380.63,392,11.370000000000005,1,4:2,4:2,2,2,,0,0,1,28,,,0
23,71,1,39,392,392,0,394.63,406,11.370000000000005,1,1:2,1:2,2,2,,0,0,1,29,,,0
81,72,1,34,392,392,0,394.63,406,11.370000000000005,1,3,3:4,1,2,4,1,0,1,29,71,23:23,1
53,73,1,46,406,406,0,408.63,420,11.370000000000005,1,2,2,1,1,,0,0,1,30,,,0
77,74,1,9,406,406,0,408.63,420,11.370000000000005,1,4,4,1,1,,0,0,1,30,,,0
18,75,1,41,406,406,0,408.63,420,11.370000000000005,1,1:3,1:3,2,2,,0,0,1,30,,,0
20,76,1,46,420,420,0,422.63,434,11.370000000000005,1,2:4,2:4,2,2,,0,0,1,31,,,0
86,77,1,42,420,420,0,422.63,434,11.370000000000005,1,1:3,1:3,2,2,,0,0,1,31,,,0
52,78,1,46,434,434,0,436.63,448,11.370000000000005,1,2:4,2:4,2,2,,0,0,1,32,,,0
57,79,1,43,434,434,0,436.63,448,11.370000000000005,1,1:3,1:3,2,2,,0,0,1,32,,,0
7,80,1,10,448,448,0,450.63,462,11.370000000000005,1,4,4,1,1,,0,0,1,33,,,0
70,81,1,43,448,448,0,450.63,462,11.370000000000005,1,3:1,3:1,2,2,,0,0,1,33,,,0
14,82,1,11,462,462,0,464.63,476,11.370000000000005,1,4,4,1,1,,0,0,1,34,,,0
4,83,1,44,462,462,0,464.63,476,11.370000000000005,1,1:3,1:3,2,2,,0,0,1,34,,,0
36,84,1,45,476,476,0,478.63,490,11.370000000000005,1,1,1,1,1,,0,0,1,35,,,0
98,85,1,39,476,476,0,478.63,490,11.370000000000005,1,4:3,4:3,2,2,,0,0,1,35,,,0
28,86,1,11,490,490,0,492.63,504,11.370000000000005,1,4,4,1,1,,0,0,1,36,,,0
83,87,1,45,490,490,0,492.63,504,11.370000000000005,1,1,1,1,1,,0,0,1,36,,,0
21,88,1,13,504,504,0,506.63,518,11.370000000000005,1,4,4,1,1,,0,0,1,37,,,0
100,89,1,46,504,504,0,506.63,518,11.370000000000005,1,1,1,1,1,,0,0,1,37,,,0
50,90,1,13,518,518,0,520.63,532,11.370000000000005,1,4,4,1,1,,0,0,1,38,,,0
29,91,1,46,518,518,0,520.63,532,11.370000000000005,1,1:3,1:3,2,2,,0,0,1,38,,,0
46,92,1,46,532,532,0,534.63,546,11.370000000000005,1,1:3:4,1:3:4,3,3,,0,0,1,39,,,0
85,93,1,14,546,546,0,548.63,560,11.370000000000005,1,4,4,1,1,,0,0,1,40,,,0
91,94,1,18,560,560,0,562.63,574,11.370000000000005,1,4,4,1,1,,0,0,1,41,,,0
72,95,1,21,574,574,0,576.63,588,11.370000000000005,1,4,4,1,1,,0,0,1,42,,,0
13,96,1,23,588,588,0,590.63,602,11.370000000000005,1,4,4,1,1,,0,0,1,43,,,0
82,97,1,27,602,602,0,604.63,616,11.370000000000005,1,4,4,1,1,,0,0,1,44,,,0
79,98,1,39,616,616,0,618.63,630,11.370000000000005,1,4,4,1,1,,0,0,1,45,,,0
92,99,1,39,630,630,0,632.63,644,11.370000000000005,1,4,4,1,1,,0,0,1,46,,,0
64,100,2,3,644,644,0,646.63,658,11.370000000000005,1,3,3,1,1,,0,0,1,1,,,0
87,101,2,2,644,644,0,646.63,658,11.370000000000005,1,1,1,1,1,,0,0,1,1,,,0
58,102,2,2,644,644,0,646.63,658,11.370000000000005,1,2:4,2:4,2,2,,0,0,1,1,,,0
3,103,2,6,658,658,0,660.63,672,11.370000000000005,1,2,2,1,1,,0,0,1,2,,,0
59,104,2,6,658,658,0,660.63,672,11.370000000000005,1,4,4,1,1,,0,0,1,2,,,0
65,105,2,4,658,658,0,660.63,672,11.370000000000005,1,3,3,1,1,,0,0,1,2,,,0
93,106,2,2,658,658,0,660.63,672,11.370000000000005,1,1,1,1,1,,0,0,1,2,,,0
56,107,2,7,672,672,0,674.63,686,11.370000000000005,1,4:2,4:2,2,2,,0,0,1,3,,,0
73,108,2,2,672,672,0,674.63,686,11.370000000000005,1,3:1,3:1,2,2,,0,0,1,3,,,0
32,109,2,4,686,686,0,688.63,700,11.370000000000005,1,1,1,1,1,,0,0,1,4,,,0
80,110,2,9,686,686,0,688.63,700,11.370000000000005,1,2,2,1,1,,0,0,1,4,,,0
26,111,2,6,686,686,0,688.63,700,11.370000000000005,1,3,3:4,1,2,4,1,0,1,4,110:109,80:32,1
33,112,2,12,700,700,0,702.63,714,11.370000000000005,1,2,2,1,1,,0,0,1,5,,,0
94,113,2,7,700,700,0,702.63,714,11.370000000000005,1,3:4:1,3:4:1,3,3,,0,0,1,5,,,0
48,114,2,9,714,714,0,716.63,728,11.370000000000005,1,1:3,1:3,2,2,,0,0,1,6,,,0
67,115,2,10,714,714,0,716.63,728,11.370000000000005,1,2:4,2:4,2,2,,0,0,1,6,,,0
