deviceId,packetUid,task,deadline,theoreticalStartTime,deviceTxStartTime,delayInStartTime,deviceTxFinishTime,deadlineFinishTime,delayInDeadline,onTime,gatewaysReceived,gatewaysExpected,gatewaysReceivedQty,gatewaysExpectedQty,gatewaysLost,gatewaysLostQty,otherLostLoRaPackets,receivedByNS,slot,inteferingPackets,inteferingNodes,collisionType
489,0,1,2,0,0,0,2.62963,14,11.37037,1,1:2,1:2,2,2,,0,0,1,1,,,0
1008,1,1,5,14,14,0,16.6296,28,11.3704,1,2,2,1,1,,0,0,1,2,,,0
1168,2,1,3,14,14,0,16.6296,28,11.3704,1,1,1,1,1,,0,0,1,2,,,0
253,3,1,4,28,28,0,30.6296,42,11.3704,1,1,1,1,1,,0,0,1,3,,,0
418,4,1,9,28,28,0,30.6296,42,11.3704,1,2,2,1,1,,0,0,1,3,,,0
537,5,1,4,42,42,0,44.6296,56,11.370399999999997,1,1,1,1,1,,0,0,1,4,,,0
552,6,1,9,42,42,0,44.6296,56,11.370399999999997,1,2,2,1,1,,0,0,1,4,,,0
1208,7,1,4,56,56,0,58.6296,70,11.370399999999997,1,2:1,2:1,2,2,,0,0,1,5,,,0
635,8,1,5,70,70,0,72.6296,84,11.370400000000004,1,1,1,1,1,,0,0,1,6,,,0
1182,9,1,10,70,70,0,72.6296,84,11.370400000000004,1,2,2,1,1,,0,0,1,6,,,0
1397,10,1,6,84,84,0,86.6296,98,11.370400000000004,1,1,1,1,1,,0,0,1,7,,,0
1460,11,1,14,84,84,0,86.6296,98,11.370400000000004,1,2,2,1,1,,0,0,1,7,,,0
787,12,1,15,98,98,0,100.63,112,11.370000000000005,1,2,2,1,1,,0,0,1,8,,,0
1508,13,1,6,98,98,0,100.63,112,11.370000000000005,1,1,1,1,1,,0,0,1,8,,,0
703,14,1,6,112,112,0,114.63,126,11.370000000000005,1,1:2,1:2,2,2,,0,0,1,9,,,0
816,15,1,6,126,126,0,128.63,140,11.370000000000005,1,2:1,2:1,2,2,,0,0,1,10,,,0
1043,16,1,6,140,140,0,142.63,154,11.370000000000005,1,1:2,1:2,2,2,,0,0,1,11,,,0
1550,17,1,7,154,154,0,156.63,168,11.370000000000005,1,1:2,1:2,2,2,,0,0,1,12,,,0
1313,18,1,8,168,168,0,170.63,182,11.370000000000005,1,1:2,1:2,2,2,,0,0,1,13,,,0
263,19,1,16,182,182,0,184.63,196,11.370000000000005,1,2,2,1,1,,0,0,1,14,,,0
1523,20,1,9,182,182,0,184.63,196,11.370000000000005,1,1,1,1,1,,0,0,1,14,,,0
1432,21,1,9,196,196,0,198.63,210,11.370000000000005,1,2:1,2:1,2,2,,0,0,1,15,,,0
1091,22,1,13,210,210,0,212.63,224,11.370000000000005,1,2:1,2:1,2,2,,0,0,1,16,,,0
1525,23,1,13,224,224,0,226.63,238,11.370000000000005,1,1:2,1:2,2,2,,0,0,1,17,,,0
503,24,1,16,238,238,0,240.63,252,11.370000000000005,1,2,2,1,1,,0,0,1,18,,,0
806,25,1,14,238,238,0,240.63,252,11.370000000000005,1,1,1,1,1,,0,0,1,18,,,0
17,26,1,18,252,252,0,254.63,266,11.370000000000005,1,2,2,1,1,,0,0,1,19,,,0
1095,27,1,14,252,252,0,254.63,266,11.370000000000005,1,1,1,1,1,,0,0,1,19,,,0
1527,28,1,14,266,266,0,268.63,280,11.370000000000005,1,2:1,2:1,2,2,,0,0,1,20,,,0
1119,29,1,18,280,280,0,282.63,294,11.370000000000005,1,2,2,1,1,,0,0,1,21,,,0
1211,30,1,15,280,280,0,282.63,294,11.370000000000005,1,1,1,1,1,,0,0,1,21,,,0
507,31,1,16,294,294,0,296.63,308,11.370000000000005,1,1:2,1:2,2,2,,0,0,1,22,,,0
1103,32,1,17,308,308,0,310.63,322,11.370000000000005,1,1,1,1,1,,0,0,1,23,,,0
1537,33,1,19,308,308,0,310.63,322,11.370000000000005,1,2,2,1,1,,0,0,1,23,,,0
211,34,1,20,322,322,0,324.63,336,11.370000000000005,1,2,2,1,1,,0,0,1,24,,,0
1146,35,1,17,322,322,0,324.63,336,11.370000000000005,1,1,1,1,1,,0,0,1,24,,,0
1291,36,1,20,336,336,0,338.63,350,11.370000000000005,1,2,2,1,1,,0,0,1,25,,,0
1416,37,1,20,336,336,0,338.63,350,11.370000000000005,1,1,1,1,1,,0,0,1,25,,,0
495,38,1,22,350,350,0,352.63,364,11.370000000000005,1,2,2,1,1,,0,0,1,26,,,0
1484,39,1,20,350,350,0,352.63,364,11.370000000000005,1,1,1,1,1,,0,0,1,26,,,0
38,40,1,21,364,364,0,366.63,378,11.370000000000005,1,1,1,1,1,,0,0,1,27,,,0
256,41,1,23,364,364,0,366.63,378,11.370000000000005,1,2,2,1,1,,0,0,1,27,,,0
812,42,1,23,378,378,0,380.63,392,11.370000000000005,1,2,2,1,1,,0,0,1,28,,,0
