id,x,y,z,deadline,sf,gateways,windowlength,slotlength,slotnumber
1,500,21404,0,201,12,3,699,14,170
2,21753,1513,0,529,12,2,699,14,383
3,21851,2908,0,217,12,2,699,14,157
6,19854,20701,0,468,12,4,699,14,623
11,16588,19351,0,467,12,4,699,14,621
12,17913,19324,0,312,12,4,699,14,548
14,4108,409,0,312,12,1,699,14,318
16,14669,21692,0,402,12,4,699,14,589
22,200,14452,0,628,12,3,699,14,543
23,2133,7464,0,273,12,1,699,14,267
25,21382,14001,0,683,12,4,699,14,694
26,15683,21658,0,24,12,4,699,14,29
29,7341,861,0,358,12,1,699,14,368
30,7257,2502,0,394,12,1,699,14,409
31,17657,18734,0,177,12,4,699,14,310
33,15249,19449,0,427,12,4,699,14,603
34,16916,19344,0,262,12,4,699,14,413
37,5047,6438,0,262,12,1,699,14,256
38,243,16972,0,334,12,3,699,14,293
47,16104,3290,0,685,12,2,699,14,511
48,3115,714,0,257,12,1,699,14,252
50,294,20160,0,250,12,3,699,14,229
51,17504,5719,0,66,12,2,699,14,30
53,5906,1806,0,49,12,1,699,14,54
56,5120,17234,0,204,12,3,699,14,173
60,924,3668,0,113,12,1,699,14,117
61,5830,5086,0,274,12,1,699,14,269
65,3524,16509,0,439,12,3,699,14,373
67,18031,1477,0,164,12,2,699,14,116
68,18771,5180,0,361,12,2,699,14,253
69,21775,4213,0,268,12,2,699,14,185
70,18237,1240,0,184,12,2,699,14,124
72,17426,19982,0,641,12,4,699,14,681
73,16138,6051,0,569,12,2,699,14,414
76,4190,1800,0,254,12,1,699,14,249
77,2676,15265,0,404,12,3,699,14,333
79,615,21370,0,60,12,3,699,14,49
81,868,16522,0,492,12,3,699,14,423
82,20090,4660,0,294,12,2,699,14,207
83,7188,3145,0,54,12,1,699,14,64
84,5291,6105,0,50,12,1,699,14,59
88,3325,19673,0,26,12,3,699,14,12
89,6252,3976,0,67,12,1,699,14,74
90,14784,19862,0,282,12,4,699,14,446
91,18341,2854,0,45,12,2,699,14,22
93,14951,21818,0,178,12,4,699,14,313
94,17334,18141,0,29,12,4,699,14,44
95,3415,4489,0,305,12,1,699,14,304
97,15457,1971,0,137,12,2,699,14,96
100,16960,5285,0,591,12,2,699,14,436
103,858,8509,0,553,12,1,699,14,549
104,15738,18792,0,315,12,4,699,14,549
106,18828,14780,0,497,12,4,699,14,641
110,20409,15476,0,288,12,4,699,14,489
112,7776,3099,0,378,12,1,699,14,393
113,16079,16700,0,294,12,4,699,14,498
114,20578,6759,0,201,12,2,699,14,143
115,4580,18584,0,561,12,3,699,14,485
116,18377,21304,0,16,12,4,699,14,13
119,2481,18308,0,548,12,3,699,14,477
129,17409,5326,0,402,12,2,699,14,286
131,21799,6021,0,298,12,2,699,14,208
132,18439,284,0,614,12,2,699,14,459
134,16562,4020,0,237,12,2,699,14,173
141,4539,17699,0,469,12,3,699,14,405
143,385,390,0,547,12,1,699,14,543
146,8122,1877,0,184,12,1,699,14,179
147,2997,1218,0,6,12,1,699,14,5
148,13917,102,0,648,12,2,699,14,482
151,6770,3394,0,355,12,1,699,14,363
152,19108,21510,0,494,12,4,699,14,638
156,20251,349,0,667,12,2,699,14,498
157,4361,4063,0,530,12,1,699,14,531
159,1938,7556,0,643,12,1,699,14,641
163,20418,16596,0,310,12,4,699,14,546
171,15386,20083,0,27,12,4,699,14,40
173,17626,15537,0,368,12,4,699,14,564
174,6315,17959,0,70,12,3,699,14,53
181,19118,17737,0,419,12,4,699,14,602
184,17877,3453,0,562,12,2,699,14,412
185,1458,5122,0,48,12,1,699,14,52
190,19862,18073,0,172,12,4,699,14,290
192,4341,2478,0,276,12,1,699,14,273
197,21311,20350,0,26,12,4,699,14,39
200,8512,1783,0,379,12,1,699,14,396
204,17068,663,0,582,12,2,699,14,422
205,4320,4027,0,431,12,1,699,14,436
209,3199,16979,0,619,12,3,699,14,528
210,18081,20577,0,225,12,4,699,14,373
212,5773,20654,0,493,12,3,699,14,424
213,19588,17078,0,301,12,4,699,14,537
214,21586,14646,0,622,12,4,699,14,672
216,3683,15494,0,679,12,3,699,14,578
219,1982,5333,0,459,12,1,699,14,465
221,1176,1255,0,13,12,1,699,14,12
225,1683,21477,0,466,12,3,699,14,402
226,6276,6405,0,554,12,1,699,14,551
229,7283,20606,0,565,12,3,699,14,490
232,6157,18926,0,290,12,3,699,14,249
233,4323,17401,0,699,12,3,699,14,595
234,8121,7542,0,437,12,1,699,14,445
236,4192,20997,0,418,12,3,699,14,350
237,5445,17075,0,76,12,3,699,14,60
238,13818,21296,0,44,12,4,699,14,70
242,16603,2544,0,114,12,2,699,14,66
243,7367,5750,0,544,12,1,699,14,539
244,7590,3091,0,265,12,1,699,14,260
246,21644,7717,0,136,12,2,699,14,90
255,2806,749,0,20,12,1,699,14,19
258,20624,317,0,365,12,2,699,14,262
260,6036,17358,0,353,12,3,699,14,300
264,20933,19758,0,63,12,4,699,14,91
268,14725,16961,0,18,12,4,699,14,22
270,21460,14631,0,687,12,4,699,14,696
273,7185,3855,0,499,12,1,699,14,503
274,20813,20187,0,561,12,4,699,14,654
275,15225,18391,0,427,12,4,699,14,604
276,7227,7424,0,525,12,1,699,14,526
278,16264,1613,0,582,12,2,699,14,425
279,18107,16196,0,17,12,4,699,14,16
280,1451,21847,0,248,12,3,699,14,221
281,945,7575,0,581,12,1,699,14,574
283,71,18955,0,628,12,3,699,14,544
289,14898,14741,0,218,12,4,699,14,365
297,1092,6061,0,322,12,1,699,14,333
298,21289,21443,0,429,12,4,699,14,605
299,17863,15611,0,393,12,4,699,14,582
300,18932,6660,0,545,12,2,699,14,390
301,2561,3471,0,570,12,1,699,14,566
302,16675,19925,0,45,12,4,699,14,86
303,19759,16305,0,378,12,4,699,14,571
304,15474,21134,0,118,12,4,699,14,165
305,19649,15819,0,51,12,4,699,14,90
313,18049,717,0,401,12,2,699,14,285
315,20037,4835,0,578,12,2,699,14,419
318,20710,6871,0,566,12,2,699,14,413
320,6255,3636,0,159,12,1,699,14,159
324,21710,13710,0,682,12,4,699,14,692
325,2029,18413,0,557,12,3,699,14,483
329,17522,15474,0,597,12,4,699,14,665
332,623,15653,0,445,12,3,699,14,380
335,17816,19584,0,598,12,4,699,14,666
336,17988,17369,0,176,12,4,699,14,308
338,20912,2733,0,172,12,2,699,14,121
347,19559,17734,0,584,12,4,699,14,659
348,7961,7258,0,53,12,1,699,14,62
354,13568,107,0,546,12,2,699,14,393
355,16557,6305,0,278,12,2,699,14,197
356,15352,20815,0,495,12,4,699,14,639
358,16634,3981,0,433,12,2,699,14,315
361,6460,15581,0,226,12,3,699,14,196
363,3470,3166,0,645,12,1,699,14,646
364,1677,5960,0,368,12,1,699,14,384
365,7928,6213,0,464,12,1,699,14,473
367,5590,773,0,366,12,1,699,14,379
375,2144,3064,0,309,12,1,699,14,314
376,7,17407,0,33,12,3,699,14,32
377,6805,616,0,279,12,1,699,14,277
378,8356,804,0,320,12,1,699,14,332
379,4668,15014,0,477,12,3,699,14,420
380,8338,1755,0,48,12,1,699,14,53
382,14178,18910,0,264,12,4,699,14,414
383,5858,20453,0,32,12,3,699,14,29
384,3683,6809,0,198,12,1,699,14,187
385,17049,14843,0,380,12,4,699,14,574
