deviceId,packetUid,task,deadline,theoreticalStartTime,deviceTxStartTime,delayInStartTime,deviceTxFinishTime,deadlineFinishTime,delayInDeadline,onTime,gatewaysReceived,gatewaysExpected,gatewaysReceivedQty,gatewaysExpectedQty,gatewaysLost,gatewaysLostQty,otherLostLoRaPackets,receivedByNS,delay,inteferingPackets,inteferingNodes,collisionType
51,3187,32,28,21696.1,21696.1,0,21698.7,22384.7,686,1,1:2,1:2,2,2,,0,0,1,349.554,,,0
4,3188,32,44,21696.1,21696.1,0,21698.8,22384.7,685.9000000000015,1,1:3,1:3,2,2,,0,0,1,349.624,,,0
1,3189,32,35,21705.7,21705.7,0,21708.3,22394.3,686,1,3:1,3:1,2,2,,0,0,1,359.185,,,0
60,3190,32,31,21729.6,21729.6,0,21732.3,22418.2,685.9000000000015,1,4:3,4:3,2,2,,0,0,1,383.12,,,0
79,3191,32,39,21748.4,21748.4,0,21751,22437,686,1,4,4,1,1,,0,0,1,401.848,,,0
62,3192,32,32,21766.1,21766.1,0,21768.7,22454.7,686,1,3,3,1,1,,0,0,1,419.595,,,0
52,3193,32,46,21783.4,21783.4,0,21786,22472,686,1,2:4,2:4,2,2,,0,0,1,436.851,,,0
86,3194,32,42,21785,21785,0,21787.6,22473.6,686,1,1:3,1:3,2,2,,0,0,1,438.495,,,0
88,3195,32,42,21820.8,21820.8,0,21823.5,22509.4,685.9000000000015,1,3,3,1,1,,0,0,1,474.32,,,0
100,3196,32,46,21854.9,21854.9,0,21857.5,22543.5,686,1,1,1,1,1,,0,0,1,508.393,,,0
98,3197,32,39,21861,21861,0,21863.6,22549.6,686,1,4:3,4:3,2,2,,0,0,1,514.452,,,0
23,3198,32,39,21888.4,21888.4,0,21891.1,22577,685.9000000000015,1,1:2,1:2,2,2,,0,0,1,541.924,,,0
36,3199,32,45,22005.7,22005.7,0,22008.3,22694.3,686,1,1,1,1,1,,0,0,1,659.191,,,0
58,3200,33,2,22036.5,22036.5,0,22039.1,22725.1,686,1,2:4,2:4,2,2,,0,0,1,1.387,,,0
76,3201,33,7,22037,22037,0,22039.7,22725.6,685.8999999999978,1,4,4:3,1,2,3,1,0,1,1.939,3203:3205,81:81:96,2
35,3202,33,7,22037.6,22037.6,0,22040.3,22726.2,685.9000000000015,1,3:4,3:4,2,2,,0,0,1,2.541,,,0
81,3203,33,34,22038.2,22038.2,0,22040.8,22726.8,686,1,,3:4,0,2,3:4,2,0,0,3.083,3201:3205:3201:3205,76:76:96:76:76:96,2
3,3204,33,6,22038.3,22038.3,0,22041,22726.9,685.9000000000015,1,,2,0,1,2,1,0,0,3.226,3200:3206,58:58:45:45,2
96,3205,33,39,22039.1,22039.1,0,22041.7,22727.7,686,1,,3,0,1,3,1,0,0,4.008,3201:3203,76:76:81:81,2
45,3206,33,14,22039.8,22039.8,0,22042.4,22728.4,686,1,2:4,2:4,2,2,,0,0,1,4.666,,,0
