id,x,y,z,deadline,sf,gateways,windowlength,slotlength,slotnumber
14,1686,17973,0,56,12,3,95,14,35
15,8993,395,0,91,12,1,95,14,92
16,16034,4078,0,21,12,2,95,14,7
17,302,17022,0,26,12,3,95,14,21
18,1781,7446,0,5,12,1,95,14,2
20,8921,21849,0,67,12,3,95,14,46
23,15233,19580,0,71,12,4,95,14,80
24,1635,5288,0,27,12,1,95,14,28
27,20712,2327,0,73,12,2,95,14,49
37,20502,19117,0,41,12,4,95,14,63
38,18003,16100,0,27,12,4,95,14,49
40,20081,15371,0,56,12,4,95,14,76
41,16788,20467,0,75,12,4,95,14,83
42,16486,19093,0,72,12,4,95,14,82
47,4075,16757,0,83,12,3,95,14,52
48,4403,17629,0,54,12,3,95,14,26
49,13647,21093,0,61,12,4,95,14,78
50,20091,5030,0,50,12,2,95,14,45
51,6935,63,0,73,12,1,95,14,78
52,5282,6306,0,84,12,1,95,14,87
54,3500,20202,0,4,12,3,95,14,1
55,1409,5346,0,56,12,1,95,14,55
59,19551,6207,0,78,12,2,95,14,53
62,6707,4322,0,73,12,1,95,14,79
63,4472,1987,0,37,12,1,95,14,36
65,20842,2187,0,42,12,2,95,14,39
67,4514,16511,0,25,12,3,95,14,19
68,6890,19153,0,15,12,3,95,14,12
69,1674,17649,0,90,12,3,95,14,61
70,7054,2501,0,46,12,1,95,14,46
73,4120,17266,0,18,12,3,95,14,15
74,121,14316,0,68,12,3,95,14,50
75,3036,4034,0,72,12,1,95,14,75
80,7625,1260,0,5,12,1,95,14,3
84,17149,21873,0,86,12,4,95,14,84
87,15206,15959,0,56,12,4,95,14,77
91,9660,309,0,89,12,1,95,14,89
92,1990,3374,0,34,12,1,95,14,33
93,1722,7987,0,18,12,1,95,14,21
94,13231,21428,0,52,12,4,95,14,75
95,6306,18169,0,4,12,3,95,14,2
98,5482,5549,0,35,12,1,95,14,35
99,886,4756,0,34,12,1,95,14,34
100,1409,1978,0,83,12,1,95,14,86
101,6290,2867,0,75,12,1,95,14,81
103,20104,1485,0,23,12,2,95,14,13
105,4293,2683,0,24,12,1,95,14,26
110,20951,19276,0,46,12,4,95,14,65
111,1419,4153,0,9,12,1,95,14,9
112,16655,3535,0,66,12,2,95,14,48
113,5194,1384,0,22,12,1,95,14,25
114,15367,21545,0,93,12,4,95,14,85
117,5416,19588,0,62,12,3,95,14,37
121,15713,19848,0,16,12,4,95,14,31
124,15067,18624,0,8,12,4,95,14,12
125,3424,835,0,43,12,1,95,14,44
127,6366,975,0,51,12,1,95,14,52
129,4350,18544,0,74,12,3,95,14,51
140,5558,18413,0,66,12,3,95,14,40
145,6434,2526,0,50,12,1,95,14,51
146,2462,1359,0,6,12,1,95,14,6
147,21752,4286,0,30,12,2,95,14,14
148,19763,16968,0,21,12,4,95,14,45
154,15281,1069,0,7,12,2,95,14,5
155,8279,2958,0,29,12,1,95,14,29
157,2945,3534,0,65,12,1,95,14,66
158,17991,2578,0,37,12,2,95,14,38
159,553,18409,0,35,12,3,95,14,25
161,2297,3318,0,61,12,1,95,14,60
163,18818,771,0,47,12,2,95,14,44
164,7994,3447,0,67,12,1,95,14,70
165,3074,18694,0,54,12,3,95,14,33
167,4028,180,0,40,12,1,95,14,39
168,2554,18438,0,57,12,3,95,14,36
171,19855,5310,0,32,12,2,95,14,28
173,20065,19803,0,65,12,4,95,14,79
174,212,16547,0,5,12,3,95,14,3
175,5638,5664,0,66,12,1,95,14,68
179,1107,7713,0,73,12,1,95,14,80
180,17263,19045,0,16,12,4,95,14,38
182,5572,16786,0,13,12,3,95,14,9
186,5364,20503,0,95,12,3,95,14,74
189,1180,20681,0,86,12,3,95,14,55
190,535,5440,0,91,12,1,95,14,93
192,1602,6417,0,2,12,1,95,14,1
194,15934,4234,0,36,12,2,95,14,34
195,4500,1146,0,40,12,1,95,14,40
198,886,6284,0,19,12,1,95,14,22
199,846,21561,0,11,12,3,95,14,6
200,18237,16187,0,71,12,4,95,14,81
1,20527,7996,0,73,12,2,95,14,51
1,20527,7996,0,73,12,4,95,14,51
2,8406,15208,0,83,12,3,95,14,70
2,8406,15208,0,83,12,4,95,14,70
3,13399,18870,0,44,12,4,95,14,43
3,13399,18870,0,44,12,3,95,14,43
4,10237,1797,0,47,12,1,95,14,47
4,10237,1797,0,47,12,2,95,14,47
5,14748,8895,0,4,12,2,95,14,2
5,14748,8895,0,4,12,4,95,14,2
6,14208,15680,0,50,12,4,95,14,44
6,14208,15680,0,50,12,3,95,14,44
7,17707,6978,0,85,12,2,95,14,57
7,17707,6978,0,85,12,4,95,14,57
8,14599,7742,0,37,12,2,95,14,37
8,14599,7742,0,37,12,4,95,14,37
8,14599,7742,0,37,12,1,95,14,37
9,10208,11269,0,16,12,1,95,14,17
9,10208,11269,0,16,12,4,95,14,17
9,10208,11269,0,16,12,3,95,14,17
9,10208,11269,0,16,12,2,95,14,17
10,12078,1024,0,72,12,2,95,14,76
10,12078,1024,0,72,12,1,95,14,76
11,19921,10098,0,19,12,2,95,14,21
11,19921,10098,0,19,12,4,95,14,21
12,9162,21042,0,54,12,3,95,14,47
12,9162,21042,0,54,12,4,95,14,47
13,905,9443,0,90,12,1,95,14,91
13,905,9443,0,90,12,3,95,14,91
19,19786,12749,0,24,12,4,95,14,24
19,19786,12749,0,24,12,2,95,14,24
21,1029,12771,0,9,12,3,95,14,10
21,1029,12771,0,9,12,1,95,14,10
22,14106,2970,0,56,12,2,95,14,56
22,14106,2970,0,56,12,1,95,14,56
25,3492,12994,0,48,12,3,95,14,49
25,3492,12994,0,48,12,1,95,14,49
26,10256,1348,0,16,12,1,95,14,18
26,10256,1348,0,16,12,2,95,14,18
28,3806,8510,0,57,12,1,95,14,57
28,3806,8510,0,57,12,3,95,14,57
29,11167,7177,0,5,12,1,95,14,4
29,11167,7177,0,5,12,2,95,14,4
30,4999,8754,0,11,12,1,95,14,11
30,4999,8754,0,11,12,3,95,14,11
31,13902,4128,0,31,12,2,95,14,30
31,13902,4128,0,31,12,1,95,14,30
32,11106,16537,0,28,12,4,95,14,30
32,11106,16537,0,28,12,3,95,14,30
33,11196,10776,0,87,12,4,95,14,88
33,11196,10776,0,87,12,1,95,14,88
33,11196,10776,0,87,12,2,95,14,88
33,11196,10776,0,87,12,3,95,14,88
34,20424,12691,0,10,12,4,95,14,9
34,20424,12691,0,10,12,2,95,14,9
35,12778,15538,0,65,12,4,95,14,62
35,12778,15538,0,65,12,3,95,14,62
36,2027,8375,0,43,12,1,95,14,45
36,2027,8375,0,43,12,3,95,14,45
39,13029,4152,0,12,12,2,95,14,12
39,13029,4152,0,12,12,1,95,14,12
43,10103,9792,0,67,12,1,95,14,71
43,10103,9792,0,67,12,4,95,14,71
43,10103,9792,0,67,12,3,95,14,71
43,10103,9792,0,67,12,2,95,14,71
44,10836,4653,0,79,12,1,95,14,84
44,10836,4653,0,79,12,2,95,14,84
45,10179,9263,0,92,12,1,95,14,95
45,10179,9263,0,92,12,2,95,14,95
45,10179,9263,0,92,12,4,95,14,95
45,10179,9263,0,92,12,3,95,14,95
46,7085,16775,0,84,12,3,95,14,72
46,7085,16775,0,84,12,4,95,14,72
53,13211,18200,0,87,12,4,95,14,73
53,13211,18200,0,87,12,3,95,14,73
56,12816,9640,0,71,12,2,95,14,74
56,12816,9640,0,71,12,4,95,14,74
56,12816,9640,0,71,12,1,95,14,74
57,17637,8147,0,33,12,2,95,14,32
57,17637,8147,0,33,12,4,95,14,32
58,4782,7662,0,89,12,1,95,14,90
58,4782,7662,0,89,12,3,95,14,90
60,9063,14527,0,6,12,3,95,14,7
60,9063,14527,0,6,12,4,95,14,7
60,9063,14527,0,6,12,1,95,14,7
61,19827,10234,0,34,12,2,95,14,33
61,19827,10234,0,34,12,4,95,14,33
64,10980,733,0,63,12,1,95,14,64
64,10980,733,0,63,12,2,95,14,64
66,4614,7500,0,15,12,1,95,14,16
66,4614,7500,0,15,12,3,95,14,16
71,6492,9159,0,20,12,1,95,14,23
71,6492,9159,0,20,12,3,95,14,23
72,9710,21622,0,67,12,3,95,14,64
72,9710,21622,0,67,12,4,95,14,64
76,8365,12321,0,52,12,3,95,14,53
76,8365,12321,0,52,12,1,95,14,53
76,8365,12321,0,52,12,4,95,14,53
77,14004,6953,0,16,12,2,95,14,19
77,14004,6953,0,16,12,1,95,14,19
77,14004,6953,0,16,12,4,95,14,19
78,9735,3424,0,70,12,1,95,14,73
78,9735,3424,0,70,12,2,95,14,73
79,6052,15020,0,40,12,3,95,14,41
79,6052,15020,0,40,12,1,95,14,41
81,7545,10736,0,33,12,1,95,14,32
81,7545,10736,0,33,12,3,95,14,32
82,21148,10769,0,46,12,2,95,14,40
82,21148,10769,0,46,12,4,95,14,40
83,19920,9810,0,84,12,2,95,14,55
83,19920,9810,0,84,12,4,95,14,55
85,17012,9838,0,23,12,2,95,14,23
85,17012,9838,0,23,12,4,95,14,23
86,3890,7878,0,63,12,1,95,14,65
86,3890,7878,0,63,12,3,95,14,65
88,3191,14415,0,62,12,3,95,14,63
88,3191,14415,0,62,12,1,95,14,63
89,2383,14300,0,37,12,3,95,14,38
89,2383,14300,0,37,12,1,95,14,38
90,18058,10931,0,11,12,2,95,14,10
90,18058,10931,0,11,12,4,95,14,10
96,10651,21102,0,38,12,3,95,14,42
96,10651,21102,0,38,12,4,95,14,42
97,12570,17977,0,25,12,4,95,14,28
97,12570,17977,0,25,12,3,95,14,28
102,20685,11672,0,63,12,4,95,14,46
102,20685,11672,0,63,12,2,95,14,46
104,11445,7365,0,72,12,1,95,14,77
104,11445,7365,0,72,12,2,95,14,77
106,12907,14373,0,19,12,4,95,14,20
106,12907,14373,0,19,12,3,95,14,20
107,6998,13913,0,5,12,3,95,14,5
107,6998,13913,0,5,12,1,95,14,5
107,6998,13913,0,5,12,4,95,14,5
108,20845,11943,0,24,12,4,95,14,25
108,20845,11943,0,24,12,2,95,14,25
109,17168,8809,0,76,12,2,95,14,52
109,17168,8809,0,76,12,4,95,14,52
115,9737,18712,0,59,12,3,95,14,56
115,9737,18712,0,59,12,4,95,14,56
116,15445,7634,0,17,12,2,95,14,16
116,15445,7634,0,17,12,4,95,14,16
118,18989,8124,0,29,12,2,95,14,26
118,18989,8124,0,29,12,4,95,14,26
119,9883,18274,0,76,12,3,95,14,68
119,9883,18274,0,76,12,4,95,14,68
120,15675,12216,0,36,12,4,95,14,35
120,15675,12216,0,36,12,2,95,14,35
122,1897,13404,0,58,12,3,95,14,58
122,1897,13404,0,58,12,1,95,14,58
123,8440,13236,0,14,12,3,95,14,14
123,8440,13236,0,14,12,4,95,14,14
123,8440,13236,0,14,12,1,95,14,14
126,9287,17824,0,82,12,3,95,14,69
126,9287,17824,0,82,12,4,95,14,69
128,6781,13925,0,54,12,3,95,14,54
128,6781,13925,0,54,12,1,95,14,54
128,6781,13925,0,54,12,4,95,14,54
130,10108,15248,0,71,12,3,95,14,66
130,10108,15248,0,71,12,4,95,14,66
131,13138,710,0,6,12,2,95,14,8
131,13138,710,0,6,12,1,95,14,8
132,12610,3563,0,26,12,2,95,14,27
132,12610,3563,0,26,12,1,95,14,27
133,21135,9385,0,36,12,2,95,14,36
133,21135,9385,0,36,12,4,95,14,36
134,13649,2373,0,41,12,2,95,14,43
134,13649,2373,0,41,12,1,95,14,43
135,13020,19725,0,16,12,4,95,14,18
135,13020,19725,0,16,12,3,95,14,18
136,9382,8638,0,32,12,1,95,14,31
136,9382,8638,0,32,12,2,95,14,31
136,9382,8638,0,32,12,3,95,14,31
137,3869,10087,0,91,12,1,95,14,94
137,3869,10087,0,91,12,3,95,14,94
138,14247,13112,0,46,12,4,95,14,41
138,14247,13112,0,46,12,2,95,14,41
139,21911,12205,0,7,12,4,95,14,6
139,21911,12205,0,7,12,2,95,14,6
141,10391,13556,0,47,12,4,95,14,48
141,10391,13556,0,47,12,3,95,14,48
141,10391,13556,0,47,12,1,95,14,48
142,12746,1720,0,76,12,2,95,14,82
142,12746,1720,0,76,12,1,95,14,82
143,13930,11039,0,14,12,4,95,14,11
143,13930,11039,0,14,12,2,95,14,11
