deviceId,packetUid,task,deadline,theoreticalStartTime,deviceTxStartTime,delayInStartTime,deviceTxFinishTime,deadlineFinishTime,delayInDeadline,onTime,gatewaysReceived,gatewaysExpected,gatewaysReceivedQty,gatewaysExpectedQty,gatewaysLost,gatewaysLostQty,otherLostLoRaPackets,receivedByNS,slot,inteferingPackets,inteferingNodes,collisionType
1,0,1,3,0,0,0,2.62963,14,11.37037,1,,1,0,1,1,1,0,0,1,1,41,1
41,1,1,5,0,0,0,2.62963,14,11.37037,1,2,2,1,1,,0,0,1,1,,,0
31,2,1,3,14,14,0,16.6296,28,11.3704,1,1,1,1,1,,0,0,1,2,,,0
50,3,1,5,14,14,0,16.6296,28,11.3704,1,2,2,1,1,,0,0,1,2,,,0
74,4,1,3,28,28,0,30.6296,42,11.3704,1,1,1,1,1,,0,0,1,3,,,0
87,5,1,7,28,28,0,30.6296,42,11.3704,1,2,2,1,1,,0,0,1,3,,,0
67,6,1,8,42,42,0,44.6296,56,11.370399999999997,1,2,2,1,1,,0,0,1,4,,,0
85,7,1,3,42,42,0,44.6296,56,11.370399999999997,1,1,1,1,1,,0,0,1,4,,,0
66,8,1,3,56,56,0,58.6296,70,11.370399999999997,1,2:1,2:1,2,2,,0,0,1,5,,,0
61,9,1,14,70,70,0,72.6296,84,11.370400000000004,1,2,2,1,1,,0,0,1,6,,,0
83,10,1,4,70,70,0,72.6296,84,11.370400000000004,1,1,1,1,1,,0,0,1,6,,,0
75,11,1,4,84,84,0,86.6296,98,11.370400000000004,1,1:2,1:2,2,2,,0,0,1,7,,,0
47,12,1,8,98,98,0,100.63,112,11.370000000000005,1,1,1,1,1,,0,0,1,8,,,0
92,13,1,14,98,98,0,100.63,112,11.370000000000005,1,2,2,1,1,,0,0,1,8,,,0
48,14,1,8,112,112,0,114.63,126,11.370000000000005,1,1,1,1,1,,0,0,1,9,,,0
49,15,1,15,112,112,0,114.63,126,11.370000000000005,1,2,2,1,1,,0,0,1,9,,,0
6,16,1,16,126,126,0,128.63,140,11.370000000000005,1,2,2,1,1,,0,0,1,10,,,0
32,17,1,10,126,126,0,128.63,140,11.370000000000005,1,1,1,1,1,,0,0,1,10,,,0
22,18,1,13,140,140,0,142.63,154,11.370000000000005,1,1,1,1,1,,0,0,1,11,,,0
72,19,1,22,140,140,0,142.63,154,11.370000000000005,1,2,2,1,1,,0,0,1,11,,,0
8,20,1,23,154,154,0,156.63,168,11.370000000000005,1,,2,0,1,2,1,0,0,12,21,19,1
19,21,1,14,154,154,0,156.63,168,11.370000000000005,1,1,1,1,1,,0,0,1,12,,,0
21,22,1,26,168,168,0,170.63,182,11.370000000000005,1,2,2,1,1,,0,0,1,13,,,0
27,23,1,14,168,168,0,170.63,182,11.370000000000005,1,1,1,1,1,,0,0,1,13,,,0
55,24,1,14,182,182,0,184.63,196,11.370000000000005,1,1,1,1,1,,0,0,1,14,,,0
56,25,1,29,182,182,0,184.63,196,11.370000000000005,1,2,2,1,1,,0,0,1,14,,,0
43,26,1,16,196,196,0,198.63,210,11.370000000000005,1,2:1,2:1,2,2,,0,0,1,15,,,0
71,27,1,16,210,210,0,212.63,224,11.370000000000005,1,2:1,2:1,2,2,,0,0,1,16,,,0
20,28,1,17,224,224,0,226.63,238,11.370000000000005,1,1,1,1,1,,0,0,1,17,,,0
33,29,1,30,224,224,0,226.63,238,11.370000000000005,1,2,2,1,1,,0,0,1,17,,,0
54,30,1,17,238,238,0,240.63,252,11.370000000000005,1,1,1,1,1,,0,0,1,18,,,0
100,31,1,30,238,238,0,240.63,252,11.370000000000005,1,2,2,1,1,,0,0,1,18,,,0
5,32,1,18,252,252,0,254.63,266,11.370000000000005,1,1,1,1,1,,0,0,1,19,,,0
