deviceId,packetUid,task,deadline,theoreticalStartTime,deviceTxStartTime,delayInStartTime,deviceTxFinishTime,deadlineFinishTime,delayInDeadline,onTime,gatewaysReceived,gatewaysExpected,gatewaysReceivedQty,gatewaysExpectedQty,gatewaysLost,gatewaysLostQty,otherLostLoRaPackets,receivedByNS,delay,inteferingPackets,inteferingNodes,collisionType
685,0,1,447,1.471,1.471,0,4.10063,7516.16,7512.05937,1,1,1:2,1,2,2,1,0,1,1.471,1,627,2
627,1,1,2,2.682,2.682,0,5.31163,7517.37,7512.05837,1,2,2,1,1,,0,0,1,2.682,,,0
300,2,1,70,4.214,4.214,0,6.84363,7518.9,7512.056369999999,1,2,2,1,1,,0,0,1,4.214,,,0
32,3,1,173,8.15,8.15,0,10.7796,7522.84,7512.0604,1,2,2,1,1,,0,0,1,8.15,,,0
693,4,1,8,8.622,8.622,0,11.2516,7523.31,7512.058400000001,1,1,1,1,1,,0,0,1,8.622,,,0
720,5,1,126,9.642,9.642,0,12.2716,7524.33,7512.0584,1,1,1,1,1,,0,0,1,9.642,,,0
686,6,1,20,9.916,9.916,0,12.5456,7524.61,7512.064399999999,1,1,1,1,1,,0,0,1,9.916,,,0
513,7,1,2,13.924,13.924,0,16.5536,7528.61,7512.0563999999995,1,2,2,1,1,,0,0,1,13.924,,,0
43,8,1,54,15.519,15.519,0,18.1486,7530.21,7512.0614,1,1,1,1,1,,0,0,1,15.519,,,0
642,9,1,214,16.463,16.463,0,19.0926,7531.15,7512.0574,1,,1,0,1,1,1,0,0,16.463,8,43,2
450,10,1,194,17.392,17.392,0,20.0216,7532.08,7512.0584,1,2,2,1,1,,0,0,1,17.392,,,0
272,11,1,371,22.121,22.121,0,24.7506,7536.81,7512.0594,1,1,1,1,1,,0,0,1,22.121,,,0
7,12,1,21,23.648,23.648,0,26.2776,7538.34,7512.0624,1,,1,0,1,1,1,0,0,23.648,11:13,272:147,2
147,13,1,15,25.642,25.642,0,28.2716,7540.33,7512.0584,1,1,1,1,1,,0,0,1,25.642,,,0
706,14,1,153,27.936,27.936,0,30.5656,7542.62,7512.0544,1,1,1,1,1,,0,0,1,27.936,,,0
54,15,1,81,32.795,32.795,0,35.4246,7547.48,7512.055399999999,1,2:1,2:1,2,2,,0,0,1,32.795,,,0
11,16,1,127,35.15,35.15,0,37.7796,7549.84,7512.0604,1,1,1,1,1,,0,0,1,35.15,,,0
558,17,1,4,37.933,37.933,0,40.5626,7552.62,7512.0574,1,1,1:2,1,2,2,1,0,1,37.933,18:19:20,407:747:747:574,2
407,18,1,191,38.161,38.161,0,40.7906,7552.85,7512.0594,1,,2,0,1,2,1,0,0,38.161,17:19:20,558:558:747:747:574,2
747,19,1,8,38.924,38.924,0,41.5536,7553.61,7512.0563999999995,1,,2:1,0,2,2:1,2,0,0,38.924,17:18:20:17:18:20,558:558:407:574:558:558:407:574,2
574,20,1,35,39.738,39.738,0,42.3676,7554.43,7512.062400000001,1,,2,0,1,2,1,0,0,39.738,17:18:19,558:558:407:747:747,2
181,21,1,6,44.933,44.933,0,47.5626,7559.62,7512.0574,1,1:2,1:2,2,2,,0,0,1,44.933,,,0
494,22,1,26,47.02,47.02,0,49.6496,7561.71,7512.0604,1,2,2,1,1,,0,0,1,47.02,,,0
700,23,1,6,48.352,48.352,0,50.9816,7563.04,7512.0584,1,2:1,2:1,2,2,,0,0,1,48.352,,,0
498,24,1,10,53.234,53.234,0,55.8636,7567.92,7512.0564,1,1,1,1,1,,0,0,1,53.234,,,0
725,25,1,17,54.126,54.126,0,56.7556,7568.82,7512.064399999999,1,2,2,1,1,,0,0,1,54.126,,,0
340,26,1,12,55.279,55.279,0,57.9086,7569.97,7512.0614000000005,1,1,2:1,1,2,2,1,0,1,55.279,28,212,2
