id,x,y,z,deadline,sf,gateways,windowlength,slotlength,slotnumber
2,21364,6159,0,103,12,2,177,14,77
4,19238,6650,0,9,12,2,177,14,10
5,1558,18682,0,160,12,3,177,14,154
11,5564,16524,0,117,12,3,177,14,109
12,3431,1433,0,169,12,1,177,14,171
13,4499,1982,0,148,12,1,177,14,146
14,7399,19875,0,117,12,3,177,14,113
16,4625,4701,0,160,12,1,177,14,164
17,14486,19840,0,65,12,4,177,14,37
20,5215,17517,0,15,12,3,177,14,9
21,14976,17393,0,57,12,4,177,14,35
24,18678,1525,0,130,12,2,177,14,92
25,5759,7053,0,170,12,1,177,14,172
26,6278,5860,0,16,12,1,177,14,16
27,21705,14142,0,173,12,4,177,14,154
28,5653,5089,0,43,12,1,177,14,36
29,21854,20890,0,145,12,4,177,14,139
34,6878,18355,0,93,12,3,177,14,78
35,8017,2469,0,26,12,1,177,14,22
39,7718,7188,0,78,12,1,177,14,69
40,19222,19947,0,118,12,4,177,14,85
41,2917,335,0,30,12,1,177,14,27
48,15645,20742,0,111,12,4,177,14,61
52,15175,17251,0,165,12,4,177,14,150
53,19797,16311,0,21,12,4,177,14,19
54,732,13965,0,86,12,3,177,14,70
55,15872,1660,0,36,12,2,177,14,34
56,6124,19746,0,5,12,3,177,14,1
57,18618,21490,0,132,12,4,177,14,99
60,476,21762,0,154,12,3,177,14,147
61,14458,21640,0,177,12,4,177,14,155
67,4146,6491,0,132,12,1,177,14,131
68,5082,19471,0,170,12,3,177,14,168
69,3247,16409,0,137,12,3,177,14,139
70,8440,2987,0,119,12,1,177,14,120
75,5251,4383,0,84,12,1,177,14,78
79,18800,18821,0,38,12,4,177,14,26
82,4642,16476,0,106,12,3,177,14,95
83,5265,6089,0,146,12,1,177,14,142
85,6937,2614,0,81,12,1,177,14,72
87,19662,6832,0,35,12,2,177,14,33
89,487,4164,0,25,12,1,177,14,21
91,21272,5741,0,36,12,2,177,14,35
92,6032,20320,0,42,12,3,177,14,40
93,7858,268,0,78,12,1,177,14,70
96,21631,17376,0,42,12,4,177,14,33
100,8482,1635,0,153,12,1,177,14,154
101,16834,5036,0,56,12,2,177,14,44
103,1450,5377,0,83,12,1,177,14,77
105,2268,2671,0,174,12,1,177,14,173
106,21242,2794,0,67,12,2,177,14,58
107,5550,6329,0,101,12,1,177,14,98
108,3118,5497,0,121,12,1,177,14,121
109,3426,5943,0,58,12,1,177,14,49
112,21524,3979,0,131,12,2,177,14,94
115,18697,3740,0,64,12,2,177,14,56
116,17868,19788,0,140,12,4,177,14,133
117,3758,20228,0,145,12,3,177,14,141
118,18171,17025,0,134,12,4,177,14,102
119,20955,3879,0,76,12,2,177,14,65
120,3549,5472,0,13,12,1,177,14,10
122,4667,3917,0,72,12,1,177,14,64
123,7415,7401,0,99,12,1,177,14,97
126,15095,21448,0,27,12,4,177,14,21
128,6264,1393,0,113,12,1,177,14,114
129,6808,2619,0,127,12,1,177,14,126
130,1279,16739,0,6,12,3,177,14,5
131,1434,6962,0,47,12,1,177,14,40
132,17290,5556,0,161,12,2,177,14,110
134,18468,2715,0,143,12,2,177,14,99
135,21283,4988,0,157,12,2,177,14,107
137,18997,18622,0,22,12,4,177,14,20
138,21307,586,0,147,12,2,177,14,102
141,6803,21870,0,46,12,3,177,14,43
145,15324,2330,0,33,12,2,177,14,26
146,6504,21898,0,92,12,3,177,14,71
151,21519,18952,0,126,12,4,177,14,94
153,762,956,0,84,12,1,177,14,79
154,21755,20460,0,8,12,4,177,14,15
157,20384,7824,0,176,12,2,177,14,121
158,20231,19434,0,148,12,4,177,14,145
161,2136,18216,0,135,12,3,177,14,137
164,2944,21730,0,112,12,3,177,14,98
165,3731,1571,0,150,12,1,177,14,148
168,17307,577,0,45,12,2,177,14,39
169,18722,15041,0,120,12,4,177,14,86
170,556,3287,0,14,12,1,177,14,11
173,19854,1941,0,111,12,2,177,14,81
175,3397,495,0,59,12,1,177,14,50
177,3383,14785,0,21,12,3,177,14,24
178,19195,18671,0,144,12,4,177,14,137
179,19636,4833,0,19,12,2,177,14,21
180,1032,15948,0,57,12,3,177,14,57
183,2747,2633,0,130,12,1,177,14,129
185,15075,4826,0,102,12,2,177,14,76
186,20812,2729,0,144,12,2,177,14,101
190,2981,224,0,155,12,1,177,14,158
191,19446,20782,0,108,12,4,177,14,60
193,1016,13647,0,163,12,3,177,14,164
198,3357,20739,0,6,12,3,177,14,7
200,18443,5362,0,112,12,2,177,14,82
201,1468,15129,0,162,12,3,177,14,162
203,12962,100,0,37,12,2,177,14,36
205,7796,4393,0,3,12,1,177,14,1
207,16159,893,0,11,12,2,177,14,14
209,21500,13796,0,36,12,4,177,14,22
211,7316,20191,0,62,12,3,177,14,62
214,19489,5898,0,34,12,2,177,14,29
215,3029,7632,0,140,12,1,177,14,139
216,2311,3707,0,132,12,1,177,14,132
217,829,19598,0,50,12,3,177,14,49
222,21430,988,0,12,12,2,177,14,15
223,16801,936,0,99,12,2,177,14,75
226,1960,6666,0,176,12,1,177,14,176
227,7281,2929,0,27,12,1,177,14,24
228,6471,16882,0,16,12,3,177,14,20
229,5135,3936,0,77,12,1,177,14,68
234,2243,21013,0,110,12,3,177,14,97
235,1522,14038,0,117,12,3,177,14,114
237,13996,1002,0,57,12,2,177,14,47
241,4531,6499,0,146,12,1,177,14,143
244,1229,14356,0,67,12,3,177,14,64
245,6774,20612,0,171,12,3,177,14,170
246,21357,7037,0,20,12,2,177,14,22
252,420,6066,0,135,12,1,177,14,137
262,8068,20739,0,58,12,3,177,14,60
269,19196,16313,0,167,12,4,177,14,151
272,17463,5127,0,83,12,2,177,14,66
275,15731,2151,0,61,12,2,177,14,51
276,21261,2841,0,167,12,2,177,14,111
277,17301,2843,0,115,12,2,177,14,86
279,2011,5153,0,106,12,1,177,14,105
280,20573,16705,0,47,12,4,177,14,34
283,20928,7911,0,63,12,2,177,14,53
285,15096,15757,0,142,12,4,177,14,136
286,18024,17084,0,113,12,4,177,14,82
289,21338,14675,0,121,12,4,177,14,93
291,3505,3160,0,10,12,1,177,14,9
292,8420,21686,0,159,12,3,177,14,148
295,4984,21295,0,16,12,3,177,14,21
296,18910,1274,0,90,12,2,177,14,73
297,16350,18763,0,148,12,4,177,14,147
299,7191,5868,0,174,12,1,177,14,174
301,16928,4669,0,9,12,2,177,14,11
302,5755,19756,0,17,12,3,177,14,22
303,21461,20254,0,7,12,4,177,14,14
307,20975,5171,0,172,12,2,177,14,117
309,2766,17096,0,108,12,3,177,14,96
310,2409,7474,0,132,12,1,177,14,133
312,2997,20414,0,96,12,3,177,14,87
316,17276,15800,0,137,12,4,177,14,122
319,7429,7172,0,103,12,1,177,14,101
323,19748,18873,0,84,12,4,177,14,47
325,5607,2381,0,65,12,1,177,14,57
330,16608,4788,0,147,12,2,177,14,105
331,16430,20659,0,38,12,4,177,14,30
333,7717,20,0,97,12,1,177,14,95
338,3702,464,0,136,12,1,177,14,138
339,7602,208,0,117,12,1,177,14,118
342,5138,19493,0,92,12,3,177,14,72
345,14524,19372,0,167,12,4,177,14,152
346,19777,3304,0,107,12,2,177,14,79
