deviceId,packetUid,task,deadline,theoreticalStartTime,deviceTxStartTime,delayInStartTime,deviceTxFinishTime,deadlineFinishTime,delayInDeadline,onTime,gatewaysReceived,gatewaysExpected,gatewaysReceivedQty,gatewaysExpectedQty,gatewaysLost,gatewaysLostQty,otherLostLoRaPackets,receivedByNS,delay,inteferingPackets,inteferingNodes,collisionType
72,0,1,91,3.665,3.665,0,6.29463,1500.62,1494.3253699999998,1,1,1,1,1,,0,0,1,3.665,,,0
68,1,1,5,12.477,12.477,0,15.1066,1509.43,1494.3234,1,1,1,1,1,,0,0,1,12.477,,,0
9,2,1,42,12.675,12.675,0,15.3046,1509.62,1494.3154,1,1,1,1,1,,0,0,1,12.675,,,0
60,3,1,3,13.999,13.999,0,16.6286,1510.95,1494.3214,1,1,1,1,1,,0,0,1,13.999,,,0
77,4,1,2,15.348,15.348,0,17.9776,1512.3,1494.3224,1,,1,0,1,1,1,0,0,15.348,5,82,2
82,5,1,4,15.419,15.419,0,18.0486,1512.37,1494.3213999999998,1,,1,0,1,1,1,0,0,15.419,4,77,2
89,6,1,29,18.288,18.288,0,20.9176,1515.24,1494.3224,1,,1,0,1,1,1,0,0,18.288,7,87,2
87,7,1,4,19.408,19.408,0,22.0376,1516.36,1494.3223999999998,1,1,1,1,1,,0,0,1,19.408,,,0
75,8,1,5,24.087,24.087,0,26.7166,1521.04,1494.3234,1,1,1,1,1,,0,0,1,24.087,,,0
25,9,1,47,31.965,31.965,0,34.5946,1528.91,1494.3154000000002,1,1,1,1,1,,0,0,1,31.965,,,0
64,10,1,10,42.704,42.704,0,45.3336,1539.65,1494.3164000000002,1,1,1,1,1,,0,0,1,42.704,,,0
38,11,1,100,48.608,48.608,0,51.2376,1545.56,1494.3224,1,1,1,1,1,,0,0,1,48.608,,,0
96,12,1,83,54.73,54.73,0,57.3596,1551.68,1494.3204,1,1,1,1,1,,0,0,1,54.73,,,0
32,13,1,5,56.264,56.264,0,58.8936,1553.21,1494.3164,1,,1,0,1,1,1,0,0,56.264,12,96,2
45,14,1,63,57.804,57.804,0,60.4336,1554.75,1494.3164,1,1,1,1,1,,0,0,1,57.804,,,0
19,15,1,94,65.746,65.746,0,68.3756,1562.7,1494.3244,1,1,1,1,1,,0,0,1,65.746,,,0
54,16,1,8,79.567,79.567,0,82.1966,1576.52,1494.3234,1,1,1,1,1,,0,0,1,79.567,,,0
76,17,1,12,85.005,85.005,0,87.6346,1581.95,1494.3154,1,1,1,1,1,,0,0,1,85.005,,,0
99,18,1,45,87.845,87.845,0,90.4746,1584.8,1494.3254,1,1,1,1,1,,0,0,1,87.845,,,0
13,19,1,12,97.816,97.816,0,100.446,1594.77,1494.324,1,1,1,1,1,,0,0,1,97.816,,,0
65,20,1,68,102.766,102.766,0,105.396,1599.72,1494.324,1,1,1,1,1,,0,0,1,102.766,,,0
43,21,1,17,108.331,108.331,0,110.961,1605.28,1494.319,1,,1,0,1,1,1,0,0,108.331,22,26,2
26,22,1,31,109.602,109.602,0,112.232,1606.55,1494.318,1,1,1,1,1,,0,0,1,109.602,,,0
51,23,1,24,115.157,115.157,0,117.787,1612.11,1494.3229999999999,1,1,1,1,1,,0,0,1,115.157,,,0
78,24,1,12,115.746,115.746,0,118.376,1612.7,1494.324,1,1,1,1,1,,0,0,1,115.746,,,0
66,25,1,17,129.37,129.37,0,132,1626.32,1494.32,1,,1,0,1,1,1,0,0,129.37,27,23,2
93,26,1,93,129.95,129.95,0,132.58,1626.9,1494.3200000000002,1,1,1,1,1,,0,0,1,129.95,,,0
23,27,1,22,130.096,130.096,0,132.726,1627.05,1494.324,1,1,1,1,1,,0,0,1,130.096,,,0
91,28,1,34,147.911,147.911,0,150.541,1644.86,1494.319,1,1,1,1,1,,0,0,1,147.911,,,0
7,29,1,39,157.103,157.103,0,159.733,1654.05,1494.317,1,1,1,1,1,,0,0,1,157.103,,,0
40,30,1,60,160.635,160.635,0,163.265,1657.59,1494.3249999999998,1,1,1,1,1,,0,0,1,160.635,,,0
5,31,1,16,175.166,175.166,0,177.796,1672.12,1494.3239999999998,1,1,1,1,1,,0,0,1,175.166,,,0
27,32,1,49,178.013,178.013,0,180.643,1674.96,1494.317,1,1,1,1,1,,0,0,1,178.013,,,0
11,33,1,17,185.884,185.884,0,188.514,1682.83,1494.3159999999998,1,1,1,1,1,,0,0,1,185.884,,,0
36,34,1,45,192.942,192.942,0,195.572,1689.89,1494.3180000000002,1,1,1,1,1,,0,0,1,192.942,,,0
79,35,1,54,198.823,198.823,0,201.453,1695.77,1494.317,1,1,1,1,1,,0,0,1,198.823,,,0
6,36,1,84,200.167,200.167,0,202.797,1697.12,1494.3229999999999,1,1,1,1,1,,0,0,1,200.167,,,0
47,37,1,60,225.288,225.288,0,227.918,1722.24,1494.3220000000001,1,1,1,1,1,,0,0,1,225.288,,,0
17,38,1,39,228.844,228.844,0,231.474,1725.79,1494.316,1,1,1,1,1,,0,0,1,228.844,,,0
30,39,1,62,238.351,238.351,0,240.981,1735.3,1494.319,1,1,1,1,1,,0,0,1,238.351,,,0
61,40,1,42,238.409,238.409,0,241.039,1735.36,1494.321,1,1,1,1,1,,0,0,1,238.409,,,0
56,41,1,35,240.345,240.345,0,242.975,1737.3,1494.325,1,1,1,1,1,,0,0,1,240.345,,,0
83,42,1,44,242.962,242.962,0,245.592,1739.91,1494.318,1,1,1,1,1,,0,0,1,242.962,,,0
85,43,1,19,245.413,245.413,0,248.043,1742.36,1494.317,1,,1,0,1,1,1,0,0,245.413,42,83,2
29,44,1,51,247.376,247.376,0,250.006,1744.33,1494.3239999999998,1,1,1,1,1,,0,0,1,247.376,,,0
59,45,1,34,254.301,254.301,0,256.931,1751.25,1494.319,1,1,1,1,1,,0,0,1,254.301,,,0
86,46,1,24,265.19,265.19,0,267.82,1762.14,1494.3200000000002,1,1,1,1,1,,0,0,1,265.19,,,0
58,47,1,26,268.546,268.546,0,271.176,1765.5,1494.324,1,1,1,1,1,,0,0,1,268.546,,,0
44,48,1,37,275.656,275.656,0,278.286,1772.61,1494.3239999999998,1,1,1,1,1,,0,0,1,275.656,,,0
12,49,1,66,285.733,285.733,0,288.363,1782.68,1494.317,1,,1,0,1,1,1,0,0,285.733,50,16,2
16,50,1,71,286.97,286.97,0,289.6,1783.92,1494.3200000000002,1,1,1,1,1,,0,0,1,286.97,,,0
8,51,1,71,310.367,310.367,0,312.997,1807.32,1494.3229999999999,1,1,1,1,1,,0,0,1,310.367,,,0
100,52,1,53,315.35,315.35,0,317.98,1812.3,1494.32,1,1,1,1,1,,0,0,1,315.35,,,0
39,53,1,74,322.58,322.58,0,325.21,1819.53,1494.32,1,1,1,1,1,,0,0,1,322.58,,,0
49,54,1,40,328.274,328.274,0,330.904,1825.22,1494.316,1,1,1,1,1,,0,0,1,328.274,,,0
52,55,1,31,331.648,331.648,0,334.278,1828.6,1494.322,1,1,1,1,1,,0,0,1,331.648,,,0
1,56,1,76,335.779,335.779,0,338.409,1832.73,1494.321,1,1,1,1,1,,0,0,1,335.779,,,0
20,57,1,47,344.2,344.2,0,346.83,1841.15,1494.3200000000002,1,1,1,1,1,,0,0,1,344.2,,,0
37,58,1,29,386.794,386.794,0,389.424,1883.74,1494.316,1,1,1,1,1,,0,0,1,386.794,,,0
70,59,1,42,401.177,401.177,0,403.807,1898.13,1494.323,1,,1,0,1,1,1,0,0,401.177,60,84,2
