deviceId,packetUid,task,deadline,theoreticalStartTime,deviceTxStartTime,delayInStartTime,deviceTxFinishTime,deadlineFinishTime,delayInDeadline,onTime,gatewaysReceived,gatewaysExpected,gatewaysReceivedQty,gatewaysExpectedQty,gatewaysLost,gatewaysLostQty,otherLostLoRaPackets,receivedByNS,delay,inteferingPackets,inteferingNodes,collisionType
759,0,1,317,1.321,1.321,0,3.95063,20958.6,20954.64937,1,2,2,1,1,,0,0,1,1.321,,,0
2922,1,1,2,1.476,1.476,0,4.10563,20958.8,20954.69437,1,2,2,1,1,,0,0,1,1.476,,,0
2295,2,1,19,1.628,1.628,0,4.25763,20958.9,20954.64237,1,,4,0,1,4,1,0,0,1.628,5,2656,2
2964,3,1,74,2.136,2.136,0,4.76563,20959.4,20954.63437,1,4,4,1,1,,0,0,1,2.136,,,0
513,4,1,192,3.403,3.403,0,6.03263,20960.7,20954.66737,1,1,1:2,1,2,2,1,0,1,3.403,0,759,2
2656,5,1,3,3.419,3.419,0,6.04863,20960.7,20954.65137,1,4,4,1,1,,0,0,1,3.419,,,0
271,6,1,503,4.688,4.688,0,7.31763,20962,20954.68237,1,,1,0,1,1,1,0,0,4.688,5:7:8:9:10,2656:117:1332:2952:1714,2
117,7,1,6,5.195,5.195,0,7.82463,20962.5,20954.67537,1,3,3,1,1,,0,0,1,5.195,,,0
1332,8,1,751,5.404,5.404,0,8.03363,20962.7,20954.66637,1,,1,0,1,1,1,0,0,5.404,5:6:7:9:10,2656:271:117:2952:1714,2
2952,9,1,200,6.237,6.237,0,8.86663,20963.5,20954.63337,1,,1,0,1,1,1,0,0,6.237,6:7:8:10,271:117:1332:1714,2
1714,10,1,208,6.75,6.75,0,9.37963,20964,20954.62037,1,,1,0,1,1,1,0,0,6.75,6:7:8:9,271:117:1332:2952,2
1794,11,1,145,11.385,11.385,0,14.0146,20968.7,20954.685400000002,1,2,2,1,1,,0,0,1,11.385,,,0
2610,12,1,790,12.233,12.233,0,14.8626,20969.5,20954.6374,1,,1,0,1,1,1,0,0,12.233,13:14:15,3102:1596:1126,2
3102,13,1,448,13.089,13.089,0,15.7186,20970.4,20954.6814,1,3,3,1,1,,0,0,1,13.089,,,0
1596,14,1,7,13.694,13.694,0,16.3236,20971,20954.6764,1,1,1,1,1,,0,0,1,13.694,,,0
1126,15,1,1344,13.798,13.798,0,16.4276,20971.1,20954.6724,1,,3,0,1,3,1,0,0,13.798,12:13:14,2610:3102:1596,2
374,16,1,267,15.618,15.618,0,18.2476,20972.9,20954.652400000003,1,,3,0,1,3,1,0,0,15.618,17:19,1145:2829,2
