id,x,y,z,deadline,sf,gateways,windowlength,slotlength,slotnumber
1,3756,21375,0,71,12,3,1400,14,42
2,276,17168,0,860,12,3,1400,14,729
3,21094,3001,0,757,12,2,1400,14,592
4,16778,5413,0,780,12,2,1400,14,607
5,4326,18072,0,1162,12,3,1400,14,980
6,1590,17130,0,558,12,3,1400,14,419
9,700,3720,0,152,12,1,1400,14,133
10,18120,20248,0,380,12,4,1400,14,765
11,908,15150,0,221,12,3,1400,14,134
12,18504,15343,0,726,12,4,1400,14,1193
16,4667,4559,0,745,12,1,1400,14,736
17,21091,14648,0,1197,12,4,1400,14,1348
20,5506,6350,0,1220,12,1,1400,14,1174
21,19792,2941,0,386,12,2,1400,14,312
23,4577,20612,0,1281,12,3,1400,14,1091
25,1149,3699,0,511,12,1,1400,14,515
26,6201,17936,0,209,12,3,1400,14,124
27,5923,20975,0,1018,12,3,1400,14,865
29,19262,19623,0,269,12,4,1400,14,538
30,4119,4319,0,210,12,1,1400,14,199
33,15898,19489,0,899,12,4,1400,14,1244
37,1234,6113,0,752,12,1,1400,14,747
38,877,15968,0,1344,12,3,1400,14,1138
40,8255,4080,0,586,12,1,1400,14,588
44,67,322,0,442,12,1,1400,14,438
45,14219,1552,0,1308,12,2,1400,14,1055
47,6012,4434,0,1154,12,1,1400,14,1116
49,4759,682,0,636,12,1,1400,14,636
50,15880,5150,0,626,12,2,1400,14,491
51,17548,5756,0,942,12,2,1400,14,751
53,2204,7638,0,1305,12,1,1400,14,1253
54,445,5496,0,1015,12,1,1400,14,1005
55,7151,6321,0,380,12,1,1400,14,370
56,764,20858,0,634,12,3,1400,14,478
57,20115,4672,0,1336,12,2,1400,14,1073
60,5676,588,0,1387,12,1,1400,14,1327
61,21096,18850,0,341,12,4,1400,14,705
64,16441,20374,0,1286,12,4,1400,14,1371
65,15000,20441,0,809,12,4,1400,14,1216
66,15507,17315,0,947,12,4,1400,14,1264
69,21691,21504,0,296,12,4,1400,14,619
71,8376,21704,0,671,12,3,1400,14,517
72,21364,5956,0,1291,12,2,1400,14,1031
75,13456,21038,0,1042,12,4,1400,14,1301
77,18850,21177,0,1110,12,4,1400,14,1324
79,20344,5220,0,1228,12,2,1400,14,983
80,16451,112,0,712,12,2,1400,14,546
81,4995,1180,0,1383,12,1,1400,14,1321
83,18871,3218,0,389,12,2,1400,14,313
84,16673,4790,0,698,12,2,1400,14,534
88,4423,20059,0,267,12,3,1400,14,174
89,4964,15920,0,221,12,3,1400,14,136
91,4472,15750,0,1179,12,3,1400,14,991
97,21125,19024,0,938,12,4,1400,14,1257
98,20370,18150,0,884,12,4,1400,14,1240
102,19928,6737,0,766,12,2,1400,14,605
103,16478,1940,0,625,12,2,1400,14,490
105,1608,6002,0,346,12,1,1400,14,337
106,5386,6861,0,787,12,1,1400,14,778
107,19153,6025,0,972,12,2,1400,14,778
108,4432,20306,0,827,12,3,1400,14,684
110,6142,5357,0,1006,12,1,1400,14,999
111,21575,19528,0,1035,12,4,1400,14,1296
114,3730,20209,0,7,12,3,1400,14,2
115,4104,19709,0,944,12,3,1400,14,779
117,5219,20459,0,6,12,3,1400,14,1
122,15186,3791,0,567,12,2,1400,14,439
123,4089,4067,0,836,12,1,1400,14,826
124,21554,7722,0,427,12,2,1400,14,344
129,2320,196,0,193,12,1,1400,14,174
132,17603,986,0,895,12,2,1400,14,713
133,1078,21676,0,584,12,3,1400,14,438
134,4023,4200,0,42,12,1,1400,14,34
136,5219,20966,0,298,12,3,1400,14,216
137,14800,250,0,491,12,2,1400,14,381
138,19449,19446,0,871,12,4,1400,14,1234
139,2039,16537,0,367,12,3,1400,14,265
140,5804,16576,0,410,12,3,1400,14,297
141,16715,380,0,1303,12,2,1400,14,1039
144,18952,21891,0,26,12,4,1400,14,34
145,5734,1905,0,131,12,1,1400,14,112
146,8273,2386,0,416,12,1,1400,14,422
147,17445,21808,0,869,12,4,1400,14,1231
152,2869,14547,0,841,12,3,1400,14,703
153,18983,6752,0,713,12,2,1400,14,548
154,7307,5660,0,862,12,1,1400,14,856
155,5168,5177,0,1216,12,1,1400,14,1170
156,18707,396,0,1017,12,2,1400,14,808
158,18290,21475,0,494,12,4,1400,14,988
159,19584,18242,0,963,12,4,1400,14,1274
160,3661,2279,0,713,12,1,1400,14,703
161,19665,18467,0,1334,12,4,1400,14,1384
162,8296,21647,0,1266,12,3,1400,14,1084
163,19418,3217,0,202,12,2,1400,14,169
165,15484,733,0,1066,12,2,1400,14,853
166,16387,6444,0,374,12,2,1400,14,307
167,16371,5768,0,1179,12,2,1400,14,934
168,13096,21706,0,1033,12,4,1400,14,1294
169,20452,626,0,333,12,2,1400,14,264
170,5717,5133,0,74,12,1,1400,14,60
173,4868,15438,0,453,12,3,1400,14,331
175,18808,16028,0,1276,12,4,1400,14,1367
176,3610,20256,0,892,12,3,1400,14,745
178,20846,3343,0,118,12,2,1400,14,85
179,6656,18183,0,1136,12,3,1400,14,943
181,21159,7936,0,558,12,2,1400,14,433
182,1340,4537,0,787,12,1,1400,14,779
185,18565,21911,0,1025,12,4,1400,14,1293
186,21466,16936,0,1006,12,4,1400,14,1287
189,1431,17863,0,1299,12,3,1400,14,1112
195,20709,19458,0,327,12,4,1400,14,671
196,6344,4937,0,1365,12,1,1400,14,1307
199,6277,1532,0,909,12,1,1400,14,913
202,20824,2898,0,848,12,2,1400,14,660
203,6207,19829,0,273,12,3,1400,14,190
204,7198,807,0,1320,12,1,1400,14,1266
205,2498,15045,0,517,12,3,1400,14,372
206,2361,14648,0,1026,12,3,1400,14,869
209,21134,74,0,1072,12,2,1400,14,860
212,972,8195,0,38,12,1,1400,14,26
225,21202,18148,0,1024,12,4,1400,14,1292
231,5109,20713,0,890,12,3,1400,14,744
232,15492,306,0,348,12,2,1400,14,269
233,673,7562,0,636,12,1,1400,14,637
234,5050,18503,0,330,12,3,1400,14,235
235,21126,13940,0,257,12,4,1400,14,534
239,16413,1298,0,1118,12,2,1400,14,889
241,8218,2119,0,326,12,1,1400,14,317
243,3531,2981,0,152,12,1,1400,14,134
244,15770,5755,0,964,12,2,1400,14,761
245,4548,3382,0,201,12,1,1400,14,188
247,2783,19827,0,1075,12,3,1400,14,904
248,2207,19678,0,767,12,3,1400,14,617
249,6296,6331,0,468,12,1,1400,14,458
251,930,19942,0,620,12,3,1400,14,472
253,3013,20020,0,1213,12,3,1400,14,1037
254,15024,18568,0,677,12,4,1400,14,1184
255,5555,323,0,665,12,1,1400,14,662
256,3826,19953,0,281,12,3,1400,14,201
257,7187,5338,0,568,12,1,1400,14,571
258,1880,19611,0,560,12,3,1400,14,424
259,2713,18339,0,25,12,3,1400,14,16
261,20730,6456,0,1238,12,2,1400,14,994
263,2470,7313,0,482,12,1,1400,14,475
264,19814,6372,0,278,12,2,1400,14,219
265,18680,16369,0,748,12,4,1400,14,1204
267,3239,20407,0,1132,12,3,1400,14,939
269,19151,97,0,1290,12,2,1400,14,1026
271,1428,154,0,503,12,1,1400,14,503
272,1554,19832,0,1224,12,3,1400,14,1056
277,19032,4693,0,883,12,2,1400,14,699
278,9301,193,0,1100,12,1,1400,14,1073
279,156,19222,0,443,12,3,1400,14,318
283,17250,1180,0,83,12,2,1400,14,67
287,17324,21394,0,310,12,4,1400,14,645
288,2853,1641,0,718,12,1,1400,14,710
289,21480,7870,0,3,12,2,1400,14,2
290,3784,4498,0,1184,12,1,1400,14,1147
291,21742,20114,0,1326,12,4,1400,14,1382
292,21455,4430,0,842,12,2,1400,14,655
293,15074,3873,0,753,12,2,1400,14,591
294,7117,21824,0,327,12,3,1400,14,234
295,3305,3063,0,355,12,1,1400,14,346
296,5141,1965,0,224,12,1,1400,14,216
298,3639,15190,0,1393,12,3,1400,14,1170
299,19313,2754,0,162,12,2,1400,14,129
301,20587,18783,0,754,12,4,1400,14,1205
303,20106,19174,0,1195,12,4,1400,14,1346
304,20317,5767,0,964,12,2,1400,14,765
307,5146,6212,0,609,12,1,1400,14,615
309,171,19112,0,1191,12,3,1400,14,1009
311,5223,16846,0,659,12,3,1400,14,489
313,3999,20040,0,55,12,3,1400,14,35
315,156,308,0,132,12,1,1400,14,115
316,5639,159,0,912,12,1,1400,14,915
320,2697,1338,0,986,12,1,1400,14,979
321,16707,2413,0,448,12,2,1400,14,354
323,574,379,0,1398,12,1,1400,14,1335
324,6945,1123,0,86,12,1,1400,14,72
325,4621,2054,0,1334,12,1,1400,14,1285
