deviceId,packetUid,task,deadline,theoreticalStartTime,deviceTxStartTime,delayInStartTime,deviceTxFinishTime,deadlineFinishTime,delayInDeadline,onTime,gatewaysReceived,gatewaysExpected,gatewaysReceivedQty,gatewaysExpectedQty,gatewaysLost,gatewaysLostQty,otherLostLoRaPackets,receivedByNS,slot,inteferingPackets,inteferingNodes,collisionType
117,0,1,6,0,0,0,2.62963,14,11.37037,1,3,3,1,1,,0,0,1,1,,,0
800,1,1,3,0,0,0,2.62963,14,11.37037,1,1,1,1,1,,0,0,1,1,,,0
2656,2,1,3,0,0,0,2.62963,14,11.37037,1,4,4,1,1,,0,0,1,1,,,0
2922,3,1,2,0,0,0,2.62963,14,11.37037,1,2,2,1,1,,0,0,1,1,,,0
114,4,1,7,14,14,0,16.6296,28,11.3704,1,3,3,1,1,,0,0,1,2,,,0
289,5,1,3,14,14,0,16.6296,28,11.3704,1,2,2,1,1,,0,0,1,2,,,0
355,6,1,5,14,14,0,16.6296,28,11.3704,1,4,4,1,1,,0,0,1,2,,,0
2848,7,1,6,14,14,0,16.6296,28,11.3704,1,1,1,1,1,,0,0,1,2,,,0
739,8,1,12,28,28,0,30.6296,42,11.3704,1,,3,0,1,3,1,0,0,3,9:10,1596:370:370,1
1596,9,1,7,28,28,0,30.6296,42,11.3704,1,1,1,1,1,,0,0,1,3,,,0
370,10,1,8,28,28,0,30.6296,42,11.3704,1,4:2,4:2,2,2,,0,0,1,3,,,0
90,11,1,12,42,42,0,44.6296,56,11.370399999999997,1,4:2,4:2,2,2,,0,0,1,4,,,0
1255,12,1,8,42,42,0,44.6296,56,11.370399999999997,1,1:3,1:3,2,2,,0,0,1,4,,,0
1307,13,1,11,56,56,0,58.6296,70,11.370399999999997,1,3:4,3:4,2,2,,0,0,1,5,,,0
2209,14,1,9,56,56,0,58.6296,70,11.370399999999997,1,2:1,2:1,2,2,,0,0,1,5,,,0
696,15,1,11,70,70,0,72.6296,84,11.370400000000004,1,1,1,1,1,,0,0,1,6,,,0
2843,16,1,14,70,70,0,72.6296,84,11.370400000000004,1,2,2,1,1,,0,0,1,6,,,0
2035,17,1,13,70,70,0,72.6296,84,11.370400000000004,1,4:3,4:3,2,2,,0,0,1,6,,,0
2011,18,1,19,84,84,0,86.6296,98,11.370400000000004,1,2,2,1,1,,0,0,1,7,,,0
2036,19,1,7,84,84,0,86.6296,98,11.370400000000004,1,4,4,1,1,,0,0,1,7,,,0
809,20,1,11,84,84,0,86.6296,98,11.370400000000004,1,1:3,1:3,2,2,,0,0,1,7,,,0
1415,21,1,21,98,98,0,100.63,112,11.370000000000005,1,2,2,1,1,,0,0,1,8,,,0
1474,22,1,11,98,98,0,100.63,112,11.370000000000005,1,4:3:1,4:3:1,3,3,,0,0,1,8,,,0
